game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype
WS1195408140,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/08/14,WAS09,0,0:00PM,night,false,hurle901,umonf901,(none),grieb901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/10/13 8:08AM,park,none,0,unknown,-1,unknown,unknown,unknown,140,2708,bishc101,portb102,,,,
WS1195408150,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/08/15,WAS09,0,0:00PM,day,false,umonf901,grieb901,(none),hurle901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/10/26 10:12AM,park,none,0,unknown,-1,unknown,unknown,unknown,114,1894,schmj101,grayj101,,,,
WS1195408170,"""version 7RS(19) of 07/07/92""",BOS,WS1,1954/08/17,WAS09,0,0:00PM,night,false,chyln901,romme101,(none),stevj901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/10/26 11:25AM,park,none,0,unknown,-1,unknown,unknown,unknown,142,7220,sullf101,stobc101,hudss101,,,
WS1195408180,"""version 7RS(19) of 07/07/92""",BOS,WS1,1954/08/18,WAS09,0,0:00PM,night,false,romme101,stevj901,(none),chyln901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/10/27 10:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,205,4840,hudss101,marrc101,,,,
WS1195408190,"""version 7RS(19) of 07/07/92""",BOS,WS1,1954/08/19,WAS09,0,0:00PM,day,false,stevj901,chyln901,(none),romme101,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/02 7:38AM,park,none,0,unknown,-1,unknown,unknown,unknown,154,3782,parnm101,stond102,,,,
WS1195408240,"""version 7RS(19) of 07/07/92""",CHA,WS1,1954/08/24,WAS09,0,0:00PM,night,false,soarh901,hurle901,runge901,summb901,"""  White Sox""","""Jim Herdman""","""Jim Herdman""",1996/11/03 9:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,6371,harsj101,stond102,,,,
WS1195408250,"""version 7RS(19) of 07/07/92""",CHA,WS1,1954/08/25,WAS09,0,0:00PM,day,false,hurle901,runge901,summb901,soarh901,"""  CHA -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/05 5:46PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,1517,pierb101,stewb103,,,,
WS1195408260,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/08/26,WAS09,0,0:00PM,night,false,runge901,summb901,soarh901,hurle901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/07 9:17PM,park,none,0,unknown,-1,unknown,unknown,unknown,131,11219,wynne101,mcdem102,,,,
WS1195408270,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/08/27,WAS09,0,0:00PM,night,false,summb901,soarh901,hurle901,runge901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 7:23AM,park,none,0,unknown,-1,unknown,unknown,unknown,155,9428,schmj101,fellb101,,,,
WS1195408280,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/08/28,WAS09,0,0:00PM,day,false,soarh901,hurle901,runge901,summb901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 1:02PM,park,none,0,unknown,-1,unknown,unknown,unknown,155,5209,garcm101,stobc101,mossd101,,,
WS1195408291,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/08/29,WAS09,1,0:00PM,day,false,chyln901,grieb901,(none),stevj901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 3:30PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,0,kuzab101,portb102,blyzm101,,,
WS1195408292,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/08/29,WAS09,2,0:00PM,day,false,grieb901,stevj901,(none),chyln901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 4:13PM,park,none,0,unknown,-1,unknown,unknown,unknown,119,5691,colej101,kerig101,,,,
WS1195408300,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/08/30,WAS09,0,0:00PM,day,false,stevj901,chyln901,(none),grieb901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 5:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,108,1007,turlb101,stond102,,,,
WS1195408310,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/08/31,WAS09,0,0:00PM,night,false,chyln901,grieb901,(none),stevj901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 6:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,156,1839,mcdem102,zuveg101,,,,
WS1195409010,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/09/01,WAS09,0,0:00PM,night,false,grieb901,stevj901,soarh901,chyln901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/09 7:32PM,park,none,0,unknown,-1,unknown,unknown,unknown,125,4010,schmj101,abera101,,,,
WS1195409020,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/09/02,WAS09,0,0:00PM,day,false,stevj901,soarh901,chyln901,grieb901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/11/10 6:52AM,park,none,0,unknown,-1,unknown,unknown,unknown,143,1260,portb102,garvn102,,,,
WS1195409030,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/09/03,WAS09,0,0:00PM,night,false,nappl901,umonf901,berrc103,mckib901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/10 7:27AM,park,none,0,unknown,-1,unknown,unknown,unknown,155,12587,konsj101,stobc101,,,,
WS1195409040,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/09/04,WAS09,0,0:00PM,night,false,umonf901,berrc103,mckib901,nappl901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/10 9:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,143,11694,stond102,morgt101,,,,
WS1195409050,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/09/05,WAS09,0,0:00PM,day,false,berrc103,mckib901,nappl901,umonf901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/11 9:55PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,17296,portb102,sainj101,,,,
WS1195409061,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/09/06,WAS09,1,0:00PM,day,false,mckib901,umonf901,(none),berrc103,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/14 10:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,125,0,schmj101,porta101,,,,
WS1195409062,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/09/06,WAS09,2,0:00PM,day,false,umonf901,berrc103,(none),mckib901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/16 10:12AM,park,none,0,unknown,-1,unknown,unknown,unknown,141,4865,bishc101,kerig101,burtm101,,,
WS1195409070,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/09/07,WAS09,0,0:00PM,day,false,berrc103,mckib901,(none),umonf901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/11/16 12:27PM,park,none,0,unknown,-1,unknown,unknown,unknown,107,460,sheas101,burtm101,,,,
