game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,umplf,umprf
BSN195009140,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/09/14,BOS08,0,0:00PM,day,false,gorea901,stewb901,(none),conlj102,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/20 6:54PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,108,1489,sainj101,hillf101,,,,,
BSN195009160,"""version 7RS(19) of 07/07/92""",PIT,BSN,1950/09/16,BOS08,0,0:00PM,day,false,donaa901,balll901,warnl101,barla901,"""241""","""Comly""","""Comly""",2009/08/13 9:24PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,4606,chamc102,bickv101,,,,,
BSN195009171,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/09/17,BOS08,1,0:00PM,day,false,pineb101,boggd901,(none),robbs901,"""241""","""Comly""","""Comly""",2009/08/13 9:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,0,spahw101,petek101,,,,,
BSN195009172,"""version 7RS(19) of 07/07/92""",CIN,BSN,1950/09/17,BOS08,2,0:00PM,day,false,boggd901,robbs901,(none),pineb101,"""534""","""DWV""","""DWV""",2015/02/21 1:28PM,park,none,0,unknown,-1,dry,none,sunny,123,9626,antoj103,smitf104,,,,,
BSN195009210,"""version 7RS(19) of 07/07/92""",SLN,BSN,1950/09/21,BOS08,0,0:00PM,day,false,goetl901,dascf901,(none),jordl901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/20 7:14PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,2825,spahw101,stalg103,,,,,
BSN195009230,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/09/23,BOS08,0,0:00PM,day,false,barla901,donaa901,(none),balll901,"""90""","""Comly/RWood""","""Comly/RWood""",2009/08/12 11:52PM,unknown,none,0,unknown,-1,unknown,unknown,sunny,119,4690,jansl101,sainj101,,,,,
BSN195009240,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/09/24,BOS08,0,0:00PM,day,false,donaa901,balll901,(none),barla901,"""209  """,,"""D Lamoureaux""",2008/05/30 8:46PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,151,8922,hearj102,bickv101,,,,,
BSN195009251,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/09/25,BOS08,1,0:00PM,day,false,balll901,barla901,donaa901,warnl101,"""115/209""","""Bob Kistler/Weston""","""Greg Beston/Lamoureaux""",1994/03/20 9:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,164,0,heink101,spahw101,,,,,
BSN195009252,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/09/25,BOS08,2,0:00PM,day,false,barla901,donaa901,warnl101,balll901,"""150""","""Comly""","""Comly""",2000/10/05 11:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,141,7451,surkm101,konsj101,,,,,
BSN195009260,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/09/26,BOS08,0,0:00PM,day,false,donaa901,warnl101,balll901,barla901,"""115,270""","""Bob Kistler""","""Greg Beston,DWS""",1994/03/20 10:04PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,1987,donnb101,hallb103,,,,,
WS1195004180,"""version 7RS(19) of 07/07/92""",PHA,WS1,1950/04/18,WAS09,0,0:00PM,day,false,hubbc901,romme101,(none),papaj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/11 6:15AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,29320,scarr102,schec101,harrm101,,,,
WS1195004190,"""version 7RS(19) of 07/07/92""",PHA,WS1,1950/04/19,WAS09,0,0:00PM,night,false,romme101,papaj901,(none),hubbc901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/11 6:22AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,10153,wyseh101,hudss101,hoopb101,,,,
WS1195004240,"""version 7RS(19) of 07/07/92""",BOS,WS1,1950/04/24,WAS09,0,0:00PM,night,false,mckib901,hurle901,honoj901,mcgob901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/11 12:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,9323,scarr102,papaa101,,,,,
WS1195004280,"""version 7RS(19) of 07/07/92""",NYA,WS1,1950/04/28,WAS09,0,0:00PM,night,false,mcgob901,mckib901,hurle901,honoj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 6:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,156,18862,nagys101,pagej101,,,,,
WS1195004290,"""version 7RS(19) of 07/07/92""",NYA,WS1,1950/04/29,WAS09,0,0:00PM,night,false,mckib901,hurle901,honoj901,mcgob901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 6:09AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,162,12688,reyna102,scarr102,,,,,
WS1195005030,"""version 7RS(19) of 07/07/92""",SLA,WS1,1950/05/03,WAS09,0,0:00PM,night,false,hubbc901,romme101,(none),papaj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 6:16AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,122,4409,hudss101,garvn102,harrm101,,,,
WS1195005040,"""version 7RS(19) of 07/07/92""",SLA,WS1,1950/05/04,WAS09,0,0:00PM,night,false,romme101,papaj901,(none),hubbc901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 6:23AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,6609,ostrj101,weikd101,,,,,
WS1195005050,"""version 7RS(19) of 07/07/92""",DET,WS1,1950/05/05,WAS09,0,0:00PM,night,false,papaj901,hubbc901,(none),romme101,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 7:39PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,180,16338,troud101,nagys101,calvp101,,,,
WS1195005060,"""version 7RS(19) of 07/07/92""",DET,WS1,1950/05/06,WAS09,0,0:00PM,day,false,hubbc901,romme101,(none),papaj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",2000/01/13 8:04PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,145,8362,hutcf101,scarr102,troud101,,,,
WS1195005070,"""version 7RS(19) of 07/07/92""",CLE,WS1,1950/05/07,WAS09,0,0:00PM,day,false,mckib901,mcgob901,hurle901,honoj901,"""INDIANS/SENATOR""","""R.STIEGLITZ""","""R.STIEGLITZ""",1995/08/23 8:03AM,park,none,0,unknown,-1,unknown,unknown,unknown,162,23138,harrm101,florj101,,,,,
WS1195005080,"""version 7RS(19) of 07/07/92""",CLE,WS1,1950/05/08,WAS09,0,0:00PM,night,false,hurle901,mcgob901,honoj901,mckib901,"""BOTH""","""R.STIEGLITZ""","""R.STIEGLITZ""",1995/08/23 8:29AM,park,none,0,unknown,-1,unknown,unknown,unknown,140,19985,hudss101,fellb101,,,,,
