game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,umplf,oscorer
WS2196807270,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1968/07/27,0,0:00PM,day,false,goetr901,soarh901,chyln901,kinnb901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/08 8:41PM,unknown,none,80,unknown,-1,unknown,unknown,unknown,174,5704,colej102,bellg102,higgd101,,,
WS2196807280,"""version 7RS(19) of 07/07/92""",BOS,WS2,WAS10,1968/07/28,0,0:00PM,day,false,soarh901,chyln901,kinnb901,goetr901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/08 8:51PM,unknown,none,90,unknown,-1,unknown,unknown,unknown,213,13308,bellg102,humpb102,,,,
WS2196808061,"""version 7RS(19) of 07/07/92""",CAL,WS2,WAS10,1968/08/06,1,0:00PM,day,false,ashfe901,valeb901,honoj901,salea901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 11:23AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,155,0,murpt101,bertf101,bennd101,,,
WS2196808062,"""version 7RS(19) of 07/07/92""",CAL,WS2,WAS10,1968/08/06,2,0:00PM,night,false,valeb901,honoj901,salea901,ashfe901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 11:35AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,7249,colej102,mcglj101,,,,
WS2196808070,"""version 7RS(19) of 07/07/92""",CAL,WS2,WAS10,1968/08/07,0,0:00PM,night,false,honoj901,salea901,ashfe901,valeb901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 11:42AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,166,2170,ellis101,pascc102,messa101,,,
WS2196808080,"""version 7RS(19) of 07/07/92""",CAL,WS2,WAS10,1968/08/08,0,0:00PM,night,false,salea901,ashfe901,valeb901,honoj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 11:51AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,3868,hannj102,brung101,,,,
WS2196808091,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/08/09,1,0:00PM,day,false,ashfe901,valeb901,honoj901,salea901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 11:58AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,0,akerj102,higgd101,,,,
WS2196808092,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/08/09,2,0:00PM,night,false,valeb901,honoj901,salea901,ashfe901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 12:06PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,184,5985,ortep101,lindp101,,,,
WS2196808100,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/08/10,0,0:00PM,day,false,honoj901,salea901,ashfe901,valeb901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/09 12:12PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,154,3149,odomj101,bertf101,akerj102,,,
WS2196808110,"""version 7RS(19) of 07/07/92""",OAK,WS2,WAS10,1968/08/11,0,0:00PM,day,false,salea901,ashfe901,valeb901,honoj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/16 8:08PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,6268,nashj101,colej102,,,,
WS2196808230,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/08/23,0,0:00PM,night,false,ricej901,drumc901,odomj901,runge901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 4:33PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,166,5951,paulm101,pascc102,fishe102,,,
WS2196808240,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/08/24,0,0:00PM,day,false,drumc901,odomj901,runge901,ricej901,"""WS2/CLE""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 5:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,278,2733,hargs101,ortep101,,,,
WS2196808250,"""version 7RS(19) of 07/07/92""",CLE,WS2,WAS10,1968/08/25,0,0:00PM,day,false,odomj901,runge901,ricej901,drumc901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 6:09PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,171,4467,humpb102,hargs101,higgd101,,,
WS2196808261,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/08/26,1,0:00PM,day,false,runge901,ricej901,drumc901,odomj901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 7:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,0,merrj102,colej102,millb106,,,
WS2196808262,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/08/26,2,0:00PM,night,false,ricej901,drumc901,odomj901,runge901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 7:25PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,305,5214,higgd101,perrr101,,,,
WS2196808271,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/08/27,1,0:00PM,day,false,drumc901,odomj901,runge901,ricej901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 7:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,109,0,pascc102,chand102,,,,
WS2196808272,"""version 7RS(19) of 07/07/92""",MIN,WS2,WAS10,1968/08/27,2,0:00PM,night,false,odomj901,runge901,ricej901,drumc901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 7:37PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,5047,rolaj101,bosmd101,,,,
WS2196809021,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/09/02,1,0:00PM,day,false,stewb902,dimul901,sprim901,flahr901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 8:35PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,116,0,hannj102,horlj101,,,,
WS2196809022,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/09/02,2,0:00PM,day,false,dimul901,sprim901,flahr901,stewb902,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/17 8:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,150,11701,moorb105,pridb101,bosmd101,,,
WS2196809030,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/09/03,0,0:00PM,night,false,sprim901,flahr901,stewb902,dimul901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 12:10PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,137,2638,colej102,carlc102,,,,
WS2196809040,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/09/04,0,0:00PM,night,false,flahr901,stewb902,dimul901,sprim901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 12:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,246,2837,lockb102,bosmd101,ribad101,,,
WS2196809050,"""version 7RS(19) of 07/07/92""",CHA,WS2,WAS10,1968/09/05,0,0:00PM,night,false,stewb902,dimul901,sprim901,flahr901,"""Senators""","""D Lamoureaux""","""D Lamoureaux""",1998/08/18 3:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,1154,nymaj101,pascc102,peteg101,,,
WS2196809090,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/09/09,0,0:00PM,night,false,stewb902,dimul901,sprim901,flahr901,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/11/06 6:44PM,park,none,0,unknown,-1,unknown,unknown,night,150,3120,hannj102,brabg101,higgd101,,,
WS2196809111,"""version 7RS(19) of 07/07/92""",BAL,WS2,WAS10,1968/09/11,1,0:00PM,day,false,dimul901,sprim901,flahr901,stewb902,"""Orioles""","""David Annis""","""Wayne Townsend""",1996/11/06 6:55PM,park,none,0,unknown,-1,unknown,unknown,night,151,0,hardj101,pascc102,,,,
