game_id,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
TOR202209160,BAL,TOR,TOR02,2022/09/16,0,7:07PM,night,9,2,true,rehaj901,wolcq901,wegnm901,mahrn901,(none),(none),2022/09/27 09:03:22,unknown,pitches,moreh701,62,rtol,23,unknown,none,cloudy,160,36573,kikuy001,lylej001,,
TOR202209170,BAL,TOR,TOR02,2022/09/17,0,3:07PM,day,9,2,true,wolcq901,wegnm901,mahrn901,rehaj901,(none),(none),2022/09/27 09:03:24,unknown,pitches,moreh701,70,rtol,15,unknown,none,cloudy,180,44448,berrj001,bradk001,romaj004,
TOR202209180,BAL,TOR,TOR02,2022/09/18,0,1:37PM,day,9,2,true,wegnm901,mahrn901,rehaj901,wolcq901,(none),(none),2022/09/26 06:27:12,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,198,41301,krehj001,romaj004,bautf001,
TOR202209260,NYA,TOR,TOR02,2022/09/26,0,7:07PM,night,9,2,true,diazl901,willr901,onorb901,gibsh902,(none),(none),2022/09/28 09:03:05,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,209,34307,mayzt001,schmc002,,
TOR202209270,NYA,TOR,TOR02,2022/09/27,0,7:07PM,night,9,2,true,willr901,onorb901,gibsh902,diazl901,(none),(none),2022/10/11 09:01:00,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,175,40528,tailj001,berrj001,trivl001,
TOR202209280,NYA,TOR,TOR02,2022/09/28,0,7:07PM,night,9,2,true,onorb901,gibsh902,diazl901,willr901,(none),(none),2022/10/04 09:02:22,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,200,37008,coleg001,mayzt001,,
TOR202209300,BOS,TOR,TOR02,2022/09/30,0,7:07PM,night,9,2,true,fleta901,hobep901,bacce901,eddid901,(none),(none),2022/10/03 09:01:04,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,184,37283,manoa001,piven001,kikuy001,
TOR202210010,BOS,TOR,TOR02,2022/10/01,0,3:07PM,day,9,2,true,hobep901,bacce901,eddid901,fleta901,(none),(none),2022/10/09 09:01:57,unknown,pitches,moreh701,63,fromlf,8,unknown,none,cloudy,189,44612,strir001,bellb002,,
TOR202210020,BOS,TOR,TOR02,2022/10/02,0,1:37PM,day,9,2,true,bacce901,eddid901,fleta901,hobep901,(none),(none),2022/10/07 09:01:05,unknown,pitches,moreh701,68,unknown,0,unknown,none,dome,170,43877,pop-z001,wachm001,romaj004,
SEA202204150,HOU,SEA,SEA03,2022/04/15,0,6:42PM,night,9,2,true,littw901,gibsg901,mahrn901,drakr901,(none),(none),2022/09/26 06:24:12,unknown,pitches,peted701,51,unknown,0,unknown,none,sunny,184,45023,gonzm005,odorj001,,
SEA202204160,HOU,SEA,SEA03,2022/04/16,0,6:10PM,night,9,2,true,gibsg901,mahrn901,drakr901,littw901,(none),(none),2022/09/26 06:24:14,unknown,pitches,padud701,44,unknown,0,unknown,none,dome,156,38504,verlj001,flexc001,,
SEA202204170,HOU,SEA,SEA03,2022/04/17,0,1:10PM,day,9,2,true,mahrn901,drakr901,littw901,gibsg901,(none),(none),2022/09/26 06:24:15,unknown,pitches,radoe701,47,rtol,5,unknown,none,sunny,176,26583,brasm001,urquj001,,
SEA202204190,TEX,SEA,SEA03,2022/04/19,0,6:40PM,night,9,2,true,fostm901,riggj901,torrc901,kulpr901,(none),(none),2022/09/26 06:24:17,unknown,pitches,peted701,52,tocf,2,unknown,none,cloudy,157,11067,ray-r002,grayj003,,
SEA202204200,TEX,SEA,SEA03,2022/04/20,0,6:40PM,night,9,2,true,riggj901,torrc901,kulpr901,fostm901,(none),(none),2022/09/26 06:24:18,unknown,pitches,peted701,52,unknown,0,unknown,none,dome,176,9374,gilbl002,dunnd001,,
SEA202204210,TEX,SEA,SEA03,2022/04/21,0,6:40PM,night,9,2,true,torrc901,kulpr901,fostm901,riggj901,(none),(none),2022/09/26 06:24:19,unknown,pitches,padud701,49,unknown,0,unknown,none,dome,227,12570,barlj001,stecd001,,
SEA202204220,KCA,SEA,SEA03,2022/04/22,0,6:40PM,night,9,2,true,may-b901,iassd901,barrs901,becka901,(none),(none),2022/09/26 06:24:20,unknown,pitches,radoe701,55,fromlf,2,unknown,none,cloudy,162,24206,flexc001,kellb003,munoa002,
SEA202204230,KCA,SEA,SEA03,2022/04/23,0,6:10PM,night,9,2,true,iassd901,barrs901,becka901,may-b901,(none),(none),2022/09/26 06:24:21,unknown,pitches,padud701,57,torf,2,unknown,none,cloudy,246,28583,castd002,brenj001,,
SEA202204240,KCA,SEA,SEA03,2022/04/24,0,1:10PM,day,9,2,true,barrs901,becka901,may-b901,iassd901,(none),(none),2022/09/26 06:24:23,unknown,pitches,peted701,60,unknown,1,unknown,none,cloudy,252,28548,ramiy002,payaj001,,
SEA202205050,TBA,SEA,SEA03,2022/05/05,0,6:40PM,night,9,2,true,muchm901,gibsh902,merzd901,guccc901,(none),(none),2022/09/26 06:24:34,unknown,pitches,radoe701,52,unknown,-1,unknown,none,dome,170,17027,mccls003,ray-r002,raleb001,
SEA202205060,TBA,SEA,SEA03,2022/05/06,0,6:40PM,night,9,2,true,gibsh902,merzd901,guccc901,muchm901,(none),(none),2022/09/26 06:24:35,unknown,pitches,peted701,50,tocf,2,unknown,none,dome,234,26154,raleb001,sewap001,,
SEA202205070,TBA,SEA,SEA03,2022/05/07,0,6:10PM,night,9,2,true,merzd901,guccc901,muchm901,gibsh902,(none),(none),2022/09/26 06:24:36,unknown,pitches,radoe701,47,unknown,0,unknown,none,dome,181,31589,rasmd002,gonzm005,,
SEA202205080,TBA,SEA,SEA03,2022/05/08,0,1:10PM,day,9,2,true,guccc901,muchm901,gibsh902,merzd901,(none),(none),2022/09/26 06:24:38,unknown,pitches,padud701,47,torf,6,unknown,none,cloudy,184,32501,sewap001,wislm001,,
SEA202205090,PHI,SEA,SEA03,2022/05/09,0,6:40PM,night,9,2,true,millb901,eddid901,knigb901,valej901,(none),(none),2022/09/26 06:24:39,unknown,pitches,radoe701,50,torf,3,unknown,none,dome,181,15881,suarr001,flexc001,,
SEA202205100,PHI,SEA,SEA03,2022/05/10,0,6:40PM,night,9,2,true,eddid901,knigb901,valej901,millb901,(none),(none),2022/09/26 06:24:40,unknown,pitches,padud701,58,tocf,5,unknown,none,cloudy,216,16422,ray-r002,nolaa001,sewap001,
SEA202205110,PHI,SEA,SEA03,2022/05/11,0,12:40PM,day,9,2,true,knigb901,valej901,millb901,eddid901,(none),(none),2022/09/26 06:24:41,unknown,pitches,peted701,54,tocf,1,unknown,none,cloudy,191,16387,domis001,gilbl002,knebc001,
SEA202205230,OAK,SEA,SEA03,2022/05/23,0,6:40PM,night,9,2,true,reynj901,tosia901,muchm901,libkj901,(none),(none),2022/09/26 06:24:54,unknown,pitches,radoe701,63,fromlf,2,unknown,none,cloudy,204,14415,gonzm005,loguz001,sewap001,
SEA202205240,OAK,SEA,SEA03,2022/05/24,0,6:40PM,night,9,2,true,tosia901,muchm901,libkj901,reynj901,(none),(none),2022/09/26 06:24:55,unknown,pitches,peted701,58,unknown,0,unknown,none,dome,205,14797,molls001,misia001,jimed002,
SEA202205250,OAK,SEA,SEA03,2022/05/25,0,1:10PM,day,9,2,true,muchm901,libkj901,reynj901,tosia901,(none),(none),2022/09/26 06:24:56,unknown,pitches,radoe701,62,tocf,1,unknown,none,cloudy,190,15856,blacp001,ray-r002,jimed002,
SEA202205270,HOU,SEA,SEA03,2022/05/27,0,6:40PM,night,9,2,true,tomln901,fairc901,diazl901,gibsh902,(none),(none),2022/09/26 06:24:58,unknown,pitches,padud701,58,rtol,1,unknown,none,cloudy,165,26017,flexc001,verlj001,,
SEA202205280,HOU,SEA,SEA03,2022/05/28,0,7:10PM,night,9,2,true,fairc901,diazl901,gibsh902,tomln901,(none),(none),2022/09/26 06:25:00,unknown,pitches,peted701,51,fromlf,2,unknown,none,dome,181,24007,gilbl002,urquj001,,
