game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
CIN201010010,MIL,CIN,CIN09,2010/10/01,0,7:10PM,night,false,welkb901,welkt901,dimum901,holbs901,park,pitches,rothr701,68,unknown,9,unknown,unknown,sunny,216,28844,mcclm001,lecus001,axfoj001,
CIN201010020,MIL,CIN,CIN09,2010/10/02,0,1:10PM,day,false,welkt901,dimum901,holbs901,welkb901,park,pitches,jonem701,62,unknown,15,unknown,unknown,cloudy,219,28173,ondrl001,cofft001,cordf002,
CIN201010030,MIL,CIN,CIN09,2010/10/03,0,1:13PM,day,false,dimum901,holbs901,welkb901,welkt901,park,pitches,rothr701,51,torf,14,unknown,unknown,overcast,161,37582,malom001,wolfr001,cordf002,
NYN201004050,FLO,NYN,NYC20,2010/04/05,0,1:11PM,day,false,bellw901,diazl901,nelsj901,hoyej901,park,pitches,shanb701,66,tolf,13,unknown,unknown,unknown,190,41245,santj003,johnj009,,
NYN201004070,FLO,NYN,NYC20,2010/04/07,0,7:11PM,night,false,diazl901,nelsj901,hoyej901,bellw901,park,pitches,karph701,83,tocf,18,unknown,unknown,unknown,252,38863,nunel001,takah001,woodt003,
NYN201004080,FLO,NYN,NYC20,2010/04/08,0,7:11PM,night,false,nelsj901,hoyej901,bellw901,diazl901,park,pitches,sprej701,63,tolf,21,unknown,unknown,unknown,168,25982,roben001,niesj001,nunel001,
NYN201004090,WAS,NYN,NYC20,2010/04/09,0,7:12PM,night,false,wolfj901,cousd901,joycj901,hudsm901,park,pitches,shanb701,54,fromlf,20,unknown,unknown,unknown,186,28055,pelfm001,batim001,,
NYN201004100,WAS,NYN,NYC20,2010/04/10,0,1:11PM,day,false,cousd901,joycj901,hudsm901,wolfj901,park,pitches,karph701,52,torf,20,unknown,unknown,cloudy,193,33044,lannj001,pereo002,cappm001,
NYN201004110,WAS,NYN,NYC20,2010/04/11,0,1:11PM,day,false,joycj901,hudsm901,wolfj901,cousd901,park,pitches,karph701,71,torf,13,unknown,unknown,cloudy,173,33672,hernl003,santj003,cappm001,
NYN201004190,CHN,NYN,NYC20,2010/04/19,0,7:11PM,night,false,nelsj901,ticht901,kellj901,carlm901,park,pitches,shanb701,58,fromlf,12,unknown,unknown,cloudy,182,27940,nievf001,russj003,,
NYN201004200,CHN,NYN,NYC20,2010/04/20,0,7:10PM,night,false,ticht901,kellj901,carlm901,nelsj901,park,pitches,karph701,61,tolf,15,unknown,unknown,cloudy,160,27502,pelfm001,zambc001,,
NYN201004210,CHN,NYN,NYC20,2010/04/21,0,7:36PM,night,false,kellj901,carlm901,nelsj901,ticht901,park,pitches,sprej701,57,tolf,12,unknown,unknown,overcast,191,25684,silvc001,pereo002,,
NYN201004220,CHN,NYN,NYC20,2010/04/22,0,7:10PM,night,false,carlm901,nelsj901,ticht901,kellj901,park,pitches,shanb701,61,tolf,11,unknown,unknown,unknown,196,28535,santj003,gorzt001,rodrf003,
NYN201004230,ATL,NYN,NYC20,2010/04/23,0,7:11PM,night,false,hohnb901,drecb901,estam901,emmep901,park,pitches,karph701,64,ltor,14,unknown,unknown,sunny,182,32265,takah001,kawak001,rodrf003,
NYN201004240,ATL,NYN,NYC20,2010/04/24,0,1:11PM,day,false,drecb901,estam901,emmep901,hohnb901,park,pitches,sprej701,64,rtol,6,unknown,unknown,cloudy,165,36547,acosm001,jurrj001,rodrf003,
NYN201004250,ATL,NYN,NYC20,2010/04/25,0,8:09PM,night,false,estam901,emmep901,hohnb901,drecb901,park,pitches,karph701,50,fromcf,12,unknown,unknown,unknown,118,27623,pelfm001,hanst001,,
NYN201004271,LAN,NYN,NYC20,2010/04/27,1,4:10PM,day,false,barrt901,belld901,nauep901,gormb901,park,pitches,shanb701,53,torf,13,unknown,unknown,cloudy,174,0,santj003,kuroh001,,
NYN201004272,LAN,NYN,NYC20,2010/04/27,2,7:35PM,night,false,campa902,nauep901,gormb901,belld901,park,pitches,sprej701,51,torf,21,unknown,unknown,cloudy,200,32012,takah001,haegc001,,
NYN201004280,LAN,NYN,NYC20,2010/04/28,0,1:11PM,day,false,nauep901,gormb901,barrt901,campa902,park,pitches,karph701,53,ltor,26,unknown,unknown,unknown,161,29724,mainj001,ely-j001,,
NYN201005070,SFN,NYN,NYC20,2010/05/07,0,7:12PM,night,false,wendh902,herna901,schrp901,drakr901,park,pitches,shanb701,60,tolf,17,unknown,unknown,cloudy,166,34681,rodrf003,romos001,,
NYN201005080,SFN,NYN,NYC20,2010/05/08,0,1:11PM,day,false,herna901,schrp901,drakr901,wendh902,park,pitches,karph701,72,torf,21,unknown,unknown,unknown,212,36764,takah001,motag001,,
NYN201005090,SFN,NYN,NYC20,2010/05/09,0,1:13PM,day,false,schrp901,drakr901,wendh902,herna901,park,pitches,sprej701,53,ltor,25,unknown,unknown,unknown,225,35641,romos001,mejij001,wilsb001,
NYN201005100,WAS,NYN,NYC20,2010/05/10,0,7:12PM,night,false,diazl901,hirsj901,hoyej901,bellw901,park,pitches,shanb701,57,fromlf,19,unknown,unknown,cloudy,203,29313,atill001,mainj001,batim001,
