game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,translator
BOS198708240,CHA,BOS,BOS07,1987/08/24,0,0:00PM,night,true,johnm901,evanj901,cousd901,hendt901,"""Zminda""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,198,25136,delej001,hursb001,niels001,walkg001,,
BOS198708250,CHA,BOS,BOS07,1987/08/25,0,0:00PM,night,true,evanj901,cousd901,hendt901,johnm901,"""Zminda""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,157,27345,craws001,dotsr001,gardw001,barrm001,,
BOS198708260,CHA,BOS,BOS07,1987/08/26,0,0:00PM,night,true,cousd901,hendt901,johnm901,evanj901,"""Zminda""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,169,29947,longb002,clemr001,niels001,fiskc001,,
BOS198709040,CLE,BOS,BOS07,1987/09/04,0,0:00PM,night,true,barnl901,koscg901,tscht901,roe-r901,"""Waseleski""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,175,23378,clemr001,bails001,gardw001,boggw001,,
BOS198709050,CLE,BOS,BOS07,1987/09/05,0,0:00PM,day,true,koscg901,tscht901,roe-r901,barnl901,"""Waseleski""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,197,28638,farrj001,stanb001,,cartj001,,
BOS198709060,CLE,BOS,BOS07,1987/09/06,0,0:00PM,day,true,tscht901,roe-r901,barnl901,koscg901,"""B. Wolven""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,156,25520,akerd001,sellj001,joned001,snydc001,,
BOS198709070,NYA,BOS,BOS07,1987/09/07,0,0:00PM,night,true,denkd901,cobld901,mccol901,micku901,"""Kueng Hui""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,163,32544,rhodr001,hursb001,stodt001,randw001,,
BOS198709080,NYA,BOS,BOS07,1987/09/08,0,0:00PM,night,true,cobld901,mccol901,micku901,denkd901,"""King-Han Yao""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,195,29468,nippa001,gullb001,schic001,benzt001,,
BOS198709090,NYA,BOS,BOS07,1987/09/09,0,0:00PM,night,true,bremn901,mccol901,denkd901,cobld901,"""Keung Hui""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,186,32025,clemr001,hudsc001,,benzt001,,
BOS198709100,BAL,BOS,BOS07,1987/09/10,0,0:00PM,night,true,merrd901,garcr901,reedr901,hirsj901,"""Agnes Geraghty""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,184,19639,sambj001,niedt001,gardw001,marzj001,,
BOS198709110,BAL,BOS,BOS07,1987/09/11,0,0:00PM,night,true,garcr901,reedr901,hirsj901,merrd901,"""T. Benner""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,155,24938,sellj001,habyj001,,barrm001,,
BOS198709120,BAL,BOS,BOS07,1987/09/12,0,0:00PM,day,true,reedr901,hirsj901,merrd901,garcr901,"""Pryor""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,167,27409,hursb001,niedt001,,boggw001,,
BOS198709210,DET,BOS,BOS07,1987/09/21,0,0:00PM,night,true,younl901,brinj901,reilm901,welkt901,"""Steve Lysogorski""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,191,20376,nippa001,sneln001,,greem001,,
BOS198709220,DET,BOS,BOS07,1987/09/22,0,0:00PM,night,true,brinj901,reilm901,welkt901,younl901,"""J. McDonald""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,200,20189,terrw001,woodb001,noled001,evand001,,
BOS198709230,DET,BOS,BOS07,1987/09/23,0,0:00PM,night,true,reilm901,welkt901,younl901,brinj901,"""John Rickert""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,140,23798,alexd001,hursb001,,broot001,,
BOS198710020,MIL,BOS,BOS07,1987/10/02,0,0:00PM,night,true,koscg901,welkt901,fordd901,tscht901,"""Waseleski""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,201,20077,gardw001,higut001,,owens001,,
BOS198710030,MIL,BOS,BOS07,1987/10/03,0,0:00PM,day,true,welkt901,fordd901,tscht901,koscg901,"""Waseleski""","""Zminda""",unknown,none,0,unknown,-1,unknown,unknown,unknown,172,21962,wegmb001,leisj001,crimc001,schrb001,,
BOS198710040,MIL,BOS,BOS07,1987/10/04,0,0:00PM,day,true,fordd901,tscht901,koscg901,welkt901,"""F. Percival""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,152,25454,clemr001,bosic001,,greem001,,
CHN198704070,SLN,CHN,CHI11,1987/04/07,0,0:00PM,day,false,rennd901,monte901,palld901,hallt901,"""Dewan""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,201,38240,tudoj001,sutcr001,dawlb001,tudoj001,,
CHN198704090,SLN,CHN,CHI11,1987/04/09,0,0:00PM,day,false,weyel901,monte901,palld901,rennd901,"""Dewan""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,168,12441,cox-d001,trous001,worrt001,herrt001,,
CHN198704150,PIT,CHN,CHI11,1987/04/15,0,0:00PM,day,false,mcshj901,pullf901,brocf901,willb901,"""Dewan""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,182,5369,robid001,noled001,,morrj002,,
CHN198704160,PIT,CHN,CHI11,1987/04/16,0,0:00PM,day,false,pullf901,brocf901,willb901,mcshj901,"""Dewan""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,151,6956,kippb001,lynce001,,vansa001,,
CHN198704170,MON,CHN,CHI11,1987/04/17,0,0:00PM,day,false,grege901,davig901,harvd901,steld901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,166,23023,sutcr001,youmf001,,davij001,,
CHN198704180,MON,CHN,CHI11,1987/04/18,0,12:30PM,day,false,davig901,harvd901,steld901,grege901,"""O'Donnell""","""O'Donnell + Wigley from NBC GOW video""",tv,pitches,73,rtol,8,unknown,none,sunny,150,32613,sebrb001,maddg002,stclr001,folet001,,
CHN198704190,MON,CHN,CHI11,1987/04/19,0,0:00PM,day,false,harvd901,steld901,grege901,davig901,"""O'Donnell""","""O'Donnell""",unknown,none,0,unknown,-1,unknown,unknown,unknown,163,19889,sorel001,moyej001,mcgaa001,wallt001,,
CHN198704280,SFN,CHN,CHI11,1987/04/28,0,0:00PM,day,false,quicj901,willc901,kiblj901,froeb901,"""Netter""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,161,10097,krukm001,sutcr001,,maldc001,,
CHN198704290,SFN,CHN,CHI11,1987/04/29,0,0:00PM,day,false,willc901,kiblj901,froeb901,quicj901,"""O'Donnell""","""Dewan""",unknown,none,0,unknown,-1,unknown,unknown,unknown,198,11120,maddg002,masor001,lynce001,martd002,,
