game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf,gametype
NY1191308181,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/08/18,1,0:00PM,day,false,brenb901,ortha101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/21 11:46AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,0,demaa101,camnh101,,,,
NY1191308182,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/08/18,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/21 6:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,25000,tesrj101,robih102,,,,
NY1191308190,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/08/19,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/23 7:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,102,8000,adamb104,froma101,,,,
NY1191308200,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/08/20,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/26 4:56PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,8000,mcqug103,marqr102,,,,
NY1191308210,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/08/21,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/01/24 1:20PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,10000,mathc102,stace101,,,,
NY1191308220,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/08/22,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/01/24 7:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,8000,tesrj101,chenl101,,,,
NY1191308230,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/08/23,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/01/26 7:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,114,30000,marqr102,smitc107,,,,
NY1191308250,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/08/25,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/01/28 7:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,8000,crand101,amesr101,,,,
NY1191308260,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/08/26,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/01/29 7:43PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,87,7500,mathc102,johnc102,,,,
NY1191308270,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/08/27,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/01/30 7:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,2500,browm102,froma101,,,,
NY1191309011,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/09/01,1,0:00AM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/10 1:22PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,10000,demaa101,hesso101,,,,
NY1191309012,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/09/01,2,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/10 3:47PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,160,25000,marqr102,rudod101,,,,
NY1191309020,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/09/02,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/13 7:58PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,5000,perdh101,tesrj101,,,,
NY1191309030,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/09/03,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/16 1:23PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,91,4000,tylel101,mathc102,,,,
NY1191309041,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/04,1,0:00,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/18 1:29PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,111,0,ragap101,marqr102,,,,
NY1191309042,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/04,2,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/18 4:31PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,94,15000,tesrj101,yinge101,,,,
NY1191309050,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/05,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2014/02/19 7:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,90,2000,demaa101,ruckn101,,,,
NY1191309060,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/06,0,0:00PM,day,false,easom101,brenb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/21 7:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,88,12000,reule101,mathc102,,,,
NY1191309080,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/08,0,0:00PM,day,false,easom101,brenb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/02/23 3:58PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,8000,marqr102,ragap101,,,,
NY1191309240,"""version 7RS(19) of 07/07/92""",BRO,NY1,NYC14,1913/09/24,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/03/12 1:13PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,92,8000,mathc102,reule101,,,,
NY1191310021,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/02,1,0:00PM,day,false,klemb901,ortha101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/03/20 7:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,marqr102,chalg101,,,,
NY1191310022,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/02,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/03/21 1:18PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,86,16000,seatt102,hearb102,,,,
NY1191310031,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/03,1,0:00PM,day,false,ortha101,klemb901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/03/22 1:21PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,0,tesrj101,camnh101,demaa101,,,
NY1191310032,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/03,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2014/03/22 7:48PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,97,9000,,,,,,
NY1191310041,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/04,1,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/03/24 1:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,0,crand101,brena101,,,,
NY1191310042,"""version 7RS(19) of 07/07/92""",PHI,NY1,NYC14,1913/10/04,2,0:00PM,day,false,ortha101,klemb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/03/24 3:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,108,10000,froma101,alexg102,wilth102,,,
BOS191304100,"""version 7RS(19) of 07/07/92""",PHA,BOS,BOS07,1913/04/10,0,0:00PM,day,false,dinnb101,hartb901,(none),(none),"""574,269,163,266""","""Cliff Blau""","""Cliff Blau""",2024/10/26 4:48PM,unknown,none,0,unknown,-1,unknown,unknown,sunny,142,20000,plane101,woodj108,,,,
BOS191304120,"""version 7RS(19) of 07/07/92""",PHA,BOS,BOS07,1913/04/12,0,0:00PM,day,false,hartb901,dinnb101,(none),(none),"""71,163,266""","""Rob Wood""","""Rob Wood""",2025/03/16 3:54PM,park,none,0,unknown,-1,unknown,unknown,unknown,155,4000,plane101,leond102,,,,
BOS191304140,"""version 7RS(19) of 07/07/92""",NYA,BOS,BOS07,1913/04/14,0,0:00PM,day,false,dinnb101,hartb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/08/02 8:03PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,6000,woodj108,caldr101,,,,
