game_id,hometeam,home_recent_form
NY1191105180,NY1,
NY1191105190,NY1,
NY1191105200,NY1,
NY1191105220,NY1,
NY1191105230,NY1,
NY1191105240,NY1,
NY1191105250,NY1,
NY1191105260,NY1,
NY1191105270,NY1,
NY1191105290,NY1,
NY1191105301,NY1,
NY1191105302,NY1,
NY1191106280,NY1,
NY1191106290,NY1,
NY1191106300,NY1,
NY1191107010,NY1,
NY1191107060,NY1,
NY1191107070,NY1,
NY1191107080,NY1,
NY1191107100,NY1,
NY1191107110,NY1,
NY1191107120,NY1,
NY1191107130,NY1,
NY1191107150,NY1,
NY1191107180,NY1,
NY1191107190,NY1,
NY1191107200,NY1,
NY1191107210,NY1,
NY1191107220,NY1,
NY1191108110,NY1,
NY1191108120,NY1,
NY1191108141,NY1,
NY1191108142,NY1,
NY1191108160,NY1,
NY1191108171,NY1,
NY1191108172,NY1,
NY1191108191,NY1,
NY1191108192,NY1,
NY1191108210,NY1,
NY1191108220,NY1,
NY1191108230,NY1,
NY1191108241,NY1,
NY1191108242,NY1,
NY1191108250,NY1,
NY1191108260,NY1,
NY1191108280,NY1,
NY1191108290,NY1,
NY1191109041,NY1,
NY1191109042,NY1,
NY1191109070,NY1,
NY1191109080,NY1,
NY1191109090,NY1,
NY1191110061,NY1,
NY1191110062,NY1,
NY1191110070,NY1,
NY1191110121,NY1,
NY1191110122,NY1,
NYA191104210,NYA,
NYA191104240,NYA,
NYA191104290,NYA,
NYA191105020,NYA,
NYA191105030,NYA,
NYA191105040,NYA,
NYA191105050,NYA,
NYA191105060,NYA,
NYA191105080,NYA,
NYA191106010,NYA,
NYA191106020,NYA,
NYA191106030,NYA,
NYA191106080,NYA,
NYA191106090,NYA,
NYA191106100,NYA,
NYA191106120,NYA,
NYA191106130,NYA,
NYA191106140,NYA,
NYA191106150,NYA,
NYA191106170,NYA,
NYA191106190,NYA,
NYA191106200,NYA,
NYA191106210,NYA,
NYA191106220,NYA,
NYA191106230,NYA,
NYA191106241,NYA,
NYA191106242,NYA,
NYA191106260,NYA,
NYA191106271,NYA,
NYA191106272,NYA,
NYA191107031,NYA,
NYA191107032,NYA,
NYA191107041,NYA,
NYA191107042,NYA,
NYA191107050,NYA,
NYA191107250,NYA,
NYA191107261,NYA,
NYA191107262,NYA,
NYA191107270,NYA,
NYA191107280,NYA,
NYA191107291,NYA,
NYA191107292,NYA,
NYA191107310,NYA,
NYA191108011,NYA,
NYA191108012,NYA,
NYA191108020,NYA,
NYA191108030,NYA,
NYA191108040,NYA,
NYA191108050,NYA,
NYA191108070,NYA,
NYA191108081,NYA,
NYA191108082,NYA,
NYA191108090,NYA,
NYA191108100,NYA,
NYA191109010,NYA,
NYA191109020,NYA,
NYA191109060,NYA,
NYA191109110,NYA,
NYA191109120,NYA,
NYA191109130,NYA,
NYA191109161,NYA,
NYA191109162,NYA,
NYA191109180,NYA,
NYA191109190,NYA,
NYA191109201,NYA,
NYA191109202,NYA,
NYA191109210,NYA,
NYA191109220,NYA,
NYA191109230,NYA,
NYA191109250,NYA,
NYA191109260,NYA,
NYA191109280,NYA,
NYA191109301,NYA,
NYA191109302,NYA,
NYA191110031,NYA,
NYA191110032,NYA,
NYA191110040,NYA,
PHA191104120,PHA,
PHA191104130,PHA,
PHA191104150,PHA,
PHA191104170,PHA,
PHA191104180,PHA,
PHA191104250,PHA,
PHA191104260,PHA,
PHA191104270,PHA,
PHA191104280,PHA,
PHA191105271,PHA,
PHA191105272,PHA,
PHA191105290,PHA,
PHA191105301,PHA,
PHA191105302,PHA,
PHA191106010,PHA,
PHA191106020,PHA,
PHA191106030,PHA,
PHA191106070,PHA,
PHA191106080,PHA,
PHA191106090,PHA,
PHA191106100,PHA,
PHA191106120,PHA,
PHA191106130,PHA,
PHA191106140,PHA,
PHA191106160,PHA,
PHA191106170,PHA,
PHA191106190,PHA,
PHA191106211,PHA,
PHA191106212,PHA,
PHA191106220,PHA,
PHA191107251,PHA,
PHA191107252,PHA,
PHA191107260,PHA,
PHA191107270,PHA,
PHA191107281,PHA,
PHA191107282,PHA,
PHA191107290,PHA,
PHA191107310,PHA,
PHA191108010,PHA,
PHA191108020,PHA,
PHA191108041,PHA,
PHA191108042,PHA,
PHA191108050,PHA,
PHA191108071,PHA,
PHA191108072,PHA,
PHA191108080,PHA,
PHA191108090,PHA,
PHA191108100,PHA,
PHA191108111,PHA,
PHA191108112,PHA,
PHA191108120,PHA,
PHA191108140,PHA,
PHA191109041,PHA,
PHA191109042,PHA,
PHA191109050,PHA,
PHA191109061,PHA,
PHA191109062,PHA,
PHA191109070,PHA,
PHA191109080,PHA,
PHA191109090,PHA,
PHA191109181,PHA,
PHA191109182,PHA,
PHA191109190,PHA,
PHA191109200,PHA,
PHA191109210,PHA,
PHA191109220,PHA,
PHA191109230,PHA,
PHA191109250,PHA,
PHA191109260,PHA,
PHA191109270,PHA,
PHA191109280,PHA,
PHA191109301,PHA,
PHA191109302,PHA,
PHA191110050,PHA,
PHA191110060,PHA,
PHI191104210,PHI,
PHI191104240,PHI,
PHI191104290,PHI,
PHI191105010,PHI,
PHI191105020,PHI,
PHI191105030,PHI,
PHI191105040,PHI,
PHI191105050,PHI,
PHI191105060,PHI,
PHI191105080,PHI,
PHI191105090,PHI,
PHI191105100,PHI,
PHI191105110,PHI,
PHI191105120,PHI,
PHI191105130,PHI,
PHI191105150,PHI,
PHI191105160,PHI,
PHI191105170,PHI,
PHI191105180,PHI,
PHI191105190,PHI,
PHI191105200,PHI,
PHI191105220,PHI,
PHI191105230,PHI,
PHI191105240,PHI,
PHI191105250,PHI,
PHI191106230,PHI,
PHI191106240,PHI,
PHI191106260,PHI,
PHI191106270,PHI,
PHI191106280,PHI,
PHI191106290,PHI,
PHI191106300,PHI,
PHI191107010,PHI,
PHI191107030,PHI,
PHI191107041,PHI,
PHI191107042,PHI,
PHI191107051,PHI,
PHI191107052,PHI,
PHI191107060,PHI,
PHI191107070,PHI,
PHI191107080,PHI,
PHI191107100,PHI,
PHI191107120,PHI,
PHI191107130,PHI,
PHI191107140,PHI,
PHI191107150,PHI,
PHI191107181,PHI,
PHI191107182,PHI,
PHI191107190,PHI,
PHI191107200,PHI,
PHI191107220,PHI,
PHI191108160,PHI,
PHI191108170,PHI,
PHI191108191,PHI,
PHI191108192,PHI,
PHI191108210,PHI,
PHI191108220,PHI,
PHI191108230,PHI,
PHI191108240,PHI,
PHI191108250,PHI,
PHI191108260,PHI,
PHI191108280,PHI,
PHI191108290,PHI,
PHI191109011,PHI,
PHI191109012,PHI,
PHI191109020,PHI,
PHI191109110,PHI,
PHI191109120,PHI,
PHI191109130,PHI,
PHI191110020,PHI,
PHI191110030,PHI,
PHI191110041,PHI,
PHI191110042,PHI,
PHI191110091,PHI,
PHI191110092,PHI,
PIT191104200,PIT,
PIT191104280,PIT,
PIT191104290,PIT,
PIT191105030,PIT,
PIT191105040,PIT,
PIT191105050,PIT,
PIT191105060,PIT,
PIT191105080,PIT,
PIT191105260,PIT,
PIT191105270,PIT,
PIT191105290,PIT,
PIT191105300,PIT,
PIT191106010,PIT,
PIT191106020,PIT,
PIT191106030,PIT,
PIT191106050,PIT,
PIT191106060,PIT,
PIT191106070,PIT,
PIT191106080,PIT,
PIT191106090,PIT,
