game_id,home_r1
HOU201404070,0
HOU201404150,1
HOU201404160,0
HOU201404170,0
HOU201404240,1
HOU201404250,0
HOU201404260,1
HOU201404270,0
HOU201404290,0
HOU201404300,0
HOU201405020,0
HOU201405030,0
HOU201405040,0
HOU201405120,0
HOU201405130,0
HOU201405140,0
HOU201405160,0
HOU201405170,4
HOU201405180,0
HOU201405290,0
HOU201405300,0
HOU201405310,0
HOU201406010,0
HOU201406030,0
HOU201406040,0
HOU201406050,1
HOU201406110,1
HOU201406120,1
HOU201406130,0
HOU201406140,0
HOU201406150,2
HOU201406240,1
HOU201406250,0
HOU201406260,1
HOU201406270,1
HOU201406280,2
HOU201406290,3
HOU201406300,2
HOU201407010,1
HOU201407020,0
HOU201407110,0
HOU201407120,0
HOU201407130,0
HOU201407250,0
HOU201407260,2
HOU201407270,1
HOU201407280,0
HOU201407290,1
HOU201407300,6
HOU201407310,0
HOU201408010,0
HOU201408020,2
HOU201408030,0
HOU201408080,0
HOU201408090,2
HOU201408100,1
HOU201408110,1
HOU201408120,0
HOU201408130,0
HOU201408250,0
HOU201408260,0
HOU201408270,0
HOU201408280,0
HOU201408290,1
HOU201408300,0
HOU201408310,0
HOU201409020,3
HOU201409030,0
HOU201409150,0
HOU201409160,1
HOU201409170,0
HOU201409180,0
HOU201409190,1
HOU201409200,4
HOU201409210,0
KCA201404040,3
KCA201404050,0
KCA201404060,0
KCA201404070,1
KCA201404080,0
KCA201404090,0
KCA201404180,0
KCA201404190,0
KCA201404200,0
KCA201404290,0
KCA201404300,1
KCA201405010,0
KCA201405020,1
KCA201405030,0
KCA201405040,0
KCA201405130,0
KCA201405140,0
KCA201405150,0
KCA201405160,0
KCA201405170,1
KCA201405180,1
KCA201405190,5
KCA201405200,0
KCA201405210,0
KCA201405260,0
KCA201405270,0
KCA201405280,0
KCA201406040,0
KCA201406050,0
KCA201406060,0
KCA201406070,0
KCA201406080,0
KCA201406100,0
KCA201406110,0
KCA201406200,0
KCA201406210,0
KCA201406220,0
KCA201406230,0
KCA201406240,0
KCA201406250,1
KCA201406270,0
KCA201406280,0
KCA201406290,0
KCA201407100,0
KCA201407110,1
KCA201407120,0
KCA201407130,0
KCA201407240,0
KCA201407250,0
KCA201407260,0
KCA201407270,0
KCA201407290,0
KCA201407300,0
KCA201407310,0
KCA201408080,2
KCA201408090,0
