game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
CHA199309080,BOS,CHA,CHI12,1993/09/08,0,7:06,night,true,welkt901,cobld901,merrd901,hirsj901,pitches,66,rtol,6,dry,none,night,168,36433,berej002,dopsj001,,,
CHA199309100,DET,CHA,CHI12,1993/09/10,0,7:05,night,true,scotd901,phild901,reilm901,roe-r901,pitches,0,unknown,-1,dry,none,night,149,33212,moorm001,ferna001,,,
CHA199309110,DET,CHA,CHI12,1993/09/11,0,6:07,night,true,phild901,reilm901,roe-r901,scotd901,pitches,67,fromcf,3,wet,rain,night,157,42014,alvaw001,welld001,hernr001,,
CHA199309120,DET,CHA,CHI12,1993/09/12,0,1:35,day,true,reilm901,roe-r901,scotd901,phild901,pitches,76,rtol,18,dry,none,sunny,175,38833,dohej001,mcdoj001,davis001,,
CHA199309240,TEX,CHA,CHI12,1993/09/24,0,7:07,night,true,johnm901,mckej901,voltv901,kaisk901,pitches,0,fromlf,-1,dry,none,night,172,41730,hernr001,pattb001,,,
CHA199309261,TEX,CHA,CHI12,1993/09/26,1,11:37AM,day,true,mckej901,voltv901,kaisk901,johnm901,pitches,60,rtol,9,wet,none,cloudy,193,0,berej002,rogek001,hernr001,,
CHA199309262,TEX,CHA,CHI12,1993/09/26,2,3:23,day,true,voltv901,kaisk901,johnm901,mckej901,pitches,65,tolf,10,wet,none,overcast,184,42034,pavlr001,ferna001,henkt001,,
CHA199309270,SEA,CHA,CHI12,1993/09/27,0,7:07,night,true,reilm901,roe-r901,scotd901,phild901,pitches,52,rtol,9,dry,none,night,161,42116,alvaw001,flemd001,mccak001,,
CHA199309280,SEA,CHA,CHI12,1993/09/28,0,7:07,night,true,roe-r901,scotd901,phild901,reilm901,pitches,53,tocf,13,dry,none,night,160,34813,leart001,ruffs001,powet001,,
CHA199309290,SEA,CHA,CHI12,1993/09/29,0,7:07,night,true,scotd901,phild901,reilm901,roe-r901,pitches,49,tocf,9,wet,drizzle,night,208,29752,radis001,holmb002,,,
CHA199309300,SEA,CHA,CHI12,1993/09/30,0,7:07,night,true,phild901,reilm901,roe-r901,scotd901,pitches,0,unknown,-1,dry,none,night,193,32586,powet001,mccak001,,,
PHI199304090,CHN,PHI,PHI12,1993/04/09,0,3:10,day,false,bonig901,tatat901,grege901,davig901,pitches,67,rtol,8,dry,none,overcast,186,60985,mcelc001,riveb001,myerr001,,
PHI199304100,CHN,PHI,PHI12,1993/04/10,0,7:05,night,false,tatat901,grege901,davig901,bonig901,pitches,0,unknown,-1,wet,none,night,136,21081,mulht001,morgm001,willm002,,
PHI199304110,CHN,PHI,PHI12,1993/04/11,0,1:37,day,false,grege901,davig901,bonig901,tatat901,pitches,55,ltor,12,wet,none,sunny,153,21955,schic002,guzmj001,,,
PHI199304120,CIN,PHI,PHI12,1993/04/12,0,7:36,night,false,willc901,darlg901,pullf901,westj901,pitches,51,ltor,14,dry,none,night,157,20107,delej001,fosts001,willm002,,
PHI199304130,CIN,PHI,PHI12,1993/04/13,0,7:38,night,false,darlg901,pullf901,westj901,willc901,pitches,62,ltor,6,dry,none,night,150,20482,greet001,belct001,willm002,,
PHI199304140,CIN,PHI,PHI12,1993/04/14,0,7:38,night,false,pullf901,westj901,willc901,darlg901,pitches,59,tocf,7,dry,none,night,165,21111,riveb001,browt001,,,
