game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer,gametype
KC1195805302,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/05/30,2,0:00PM,day,false,runge901,tabaf901,papaj901,hurle901,,"""Schlewitz""",1999/08/01 6:39PM,park,none,0,unknown,-1,unknown,unknown,unknown,146,14224,garvn102,kellb103,maasd101,,"""Schlewitz""",,
KC1195805310,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/05/31,0,0:00,night,false,tabaf901,papaj901,hurle901,runge901,,"""Schlewitz""",1999/08/02 2:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,130,8685,urbaj101,wilhh101,gormt102,,"""Schlewitz""",,
KC1195806010,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/06/01,0,0:00,day,false,papaj901,tabaf901,hurle901,runge901,,"""Schlewitz""",1999/08/02 3:41PM,park,none,0,unknown,-1,unknown,unknown,unknown,163,14223,herbr101,mclic101,,,"""Schlewitz""",,
KC1195806170,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/06/17,0,0:00PM,night,false,flahr901,chyln901,(none),berrc103,"""BAL""","""Tim Cashion""",1997/07/27 2:30AM,park,none,0,unknown,-1,unknown,unknown,unknown,130,24047,odelb101,herbr101,,,"""Tim Cashion""",,
KC1195806180,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/06/18,0,0:00PM,night,false,chyln901,berrc103,(none),flahr901,"""BAL CHA""","""Tim Cashion""",1997/07/27 9:42PM,park,none,0,unknown,-1,unknown,unknown,unknown,158,10843,pappm101,dickm101,porta101,,"""Tim Cashion""",,
KC1195806190,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/06/19,0,0:00PM,night,false,flahr901,berrc103,(none),chyln901,"""BAL KC1""","""Tim Cashion""",1997/07/31 12:03AM,park,none,0,unknown,-1,unknown,unknown,unknown,136,8736,lehmk101,garvn102,odelb101,,"""Tim Cashion""",,
KC1195806200,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1958/06/20,0,0:00PM,night,false,flahr901,mckib901,chyln901,berrc103,"""71""","""Greg Beston""",1998/10/10 2:51PM,unknown,none,0,unknown,-1,unknown,none,night,156,13988,terrr101,smitb108,tomad101,,"""Greg Beston""",,
KC1195806220,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1958/06/22,0,0:00PM,day,false,chyln901,berrc103,flahr901,mckib901,"""71""","""Greg Beston""",1998/10/10 4:16PM,unknown,none,0,unknown,-1,wet,unknown,unknown,112,14185,urbaj101,brewt101,,,"""Greg Beston""",,
KC1195806230,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/06/23,0,0:00PM,night,false,papaj901,stewb902,runge901,tabaf901,"""Senators""","""Dobrow""",2001/02/08 9:48PM,park,none,0,unknown,-1,unknown,unknown,unknown,135,7479,dickm101,kemmr101,,,"""Dobrow""",,
KC1195806240,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/06/24,0,0:00PM,night,false,stewb902,runge901,tabaf901,papaj901,"""Senatord""","""Dobrow""",2001/02/08 10:04PM,park,none,0,unknown,-1,unknown,rain,cloudy,140,6267,,,,,"""Dobrow""",,
KC1195806250,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/06/25,0,0:00PM,night,false,runge901,tabaf901,papaj901,stewb902,"""Senators""","""Dobrow""",2001/02/09 12:20AM,park,none,0,unknown,-1,unknown,unknown,unknown,160,7826,tomad101,hyded101,,,"""Dobrow""",,
KC1195806260,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/06/26,0,0:00PM,night,false,tabaf901,papaj901,stewb902,runge901,"""Senators""","""Dobrow""",2001/02/09 9:04PM,park,none,0,unknown,-1,unknown,unknown,unknown,199,9106,dickm101,valev101,,,"""Dobrow""",,
KC1195806270,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/06/27,0,0:00PM,night,false,papaj901,stewb902,runge901,tabaf901,"""NYA""","""Marc Stephenson""",1999/06/19 11:06PM,park,none,0,unknown,-1,unknown,unknown,night,177,31602,ditma101,herbr101,,,"""Marc Stephenson""",,
KC1195806280,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/06/28,0,0:00PM,night,false,stewb902,runge901,tabaf901,papaj901,"""NYA""","""Marc Stephenson""",1999/06/20 3:52PM,park,none,83,unknown,-1,unknown,unknown,night,134,31395,fordw101,urbaj101,,,"""Marc Stephenson""",,
KC1195806290,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/06/29,0,0:00PM,day,false,runge901,tabaf901,papaj901,stewb902,"""NYA/602""","""Townsend/Stephenson""",1999/06/20 9:27PM,park,pitches,87,tolf,-1,dry,none,sunny,192,30606,tomad101,ditma101,,,"""Wayne Townsend/Marc Stephenson""",,
KC1195807220,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1958/07/22,0,0:00PM,night,false,ricej901,romme101,stevj901,nappl901,"""Bost. Newspaper""","""Greg Beston""",1998/06/06 1:30PM,unknown,none,0,unknown,-1,unknown,unknown,night,120,23027,gormt102,brewt101,,,"""Greg Beston""",,
KC1195807230,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1958/07/23,0,0:00PM,night,false,romme101,stevj901,nappl901,ricej901,"""Bost. Newspaper""","""Greg Beston""",1998/06/07 6:36PM,unknown,none,0,unknown,-1,unknown,unknown,night,128,12628,terrr101,monbb101,,,"""Greg Beston""",,
KC1195807250,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/07/25,0,0:00PM,night,false,stevj901,ricej901,nappl901,romme101,"""Orioles""","""D Lamoureaux""",1997/06/24 4:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,14657,porta101,grimb102,,,"""D Lamoureaux""",,
KC1195807260,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/07/26,0,0:00PM,night,false,nappl901,ricej901,romme101,stevj901,"""Orioles""","""D Lamoureaux""",1997/06/24 4:16PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,144,12465,harsj101,davib102,odelb101,,"""D Lamoureaux""",,
KC1195807270,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/07/27,0,0:00PM,day,false,ricej901,romme101,stevj901,nappl901,"""Orioles""","""D Lamoureaux""",1997/06/24 4:26PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,163,11064,garvn102,zuveg101,dickm101,,"""D Lamoureaux""",,
KC1195807280,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/07/28,0,0:00PM,night,false,umonf901,summb901,honoj901,soarh901,,"""Jeff Bower""",1999/08/25 10:05PM,park,none,0,unknown,-1,dry,none,night,183,19984,monrz101,tomad101,kuckj101,,"""Jeff Bower""",,
KC1195807290,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/07/29,0,0:00PM,night,false,summb901,honoj901,soarh901,umonf901,,"""Jeff Bower""",1999/08/25 10:26PM,park,none,90,unknown,-1,dry,none,night,152,22521,dickm101,ditma101,,,"""Jeff Bower""",,
