game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,howentered,gametype,umplf,umprf
DET195209160,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/09/16,DET04,0,0:00PM,day,false,romme101,berrc103,papaj901,duffj901,"""253""","""Comly""","""Comly""",2008/05/12 1:01AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,8223,millb104,houta101,,,,,,,
DET195209170,"""version 7RS(19) of 07/07/92""",NYA,DET,1952/09/17,DET04,0,0:00PM,day,false,berrc103,papaj901,duffj901,romme101,"""253""","""Comly""","""Comly""",2008/05/12 1:55AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,6879,kuzab101,trucv101,,,,,,,
DET195209270,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/09/27,DET04,0,0:00PM,day,false,berrc103,passa901,papaj901,romme101,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/02/23 7:46PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,126,7875,chakb101,trucv101,aberb101,,,,,,
DET195209280,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/09/28,DET04,0,0:00PM,day,false,papaj901,passa901,romme101,berrc103,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/02/23 8:03PM,unknown,none,80,unknown,-1,unknown,unknown,unknown,123,14910,rozed101,grayt101,jones105,,,,,,
WS1195204150,"""version 7RS(19) of 07/07/92""",BOS,WS1,1952/04/15,WAS09,0,0:00PM,day,false,passa901,hurle901,stevj901,nappl901,"""WS1 Scoresheet""","""Tim Cashion""","""Tim Cashion""",1998/03/13 4:12PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,25869,parnm101,portb102,,,,,,,
WS1195204160,"""version 7RS(19) of 07/07/92""",BOS,WS1,1952/04/16,WAS09,0,0:00PM,night,false,hurle901,stevj901,nappl901,passa901,"""WS1 Scoresheet""","""Tim Cashion""","""Tim Cashion""",1998/03/14 1:45AM,park,none,0,unknown,-1,unknown,unknown,unknown,155,6383,morej102,kinde101,,,,,,,
WS1195204170,"""version 7RS(19) of 07/07/92""",BOS,WS1,1952/04/17,WAS09,0,0:00PM,day,false,stevj901,nappl901,passa901,hurle901,"""WS1 Scoresheet""","""Tim Cashion""","""Tim Cashion""",1998/03/14 12:24PM,park,none,0,unknown,-1,unknown,unknown,unknown,144,6701,henrb101,johnd102,deloi101,,,,,,
WS1195204301,"""version 7RS(19) of 07/07/92""",CHA,WS1,1952/04/30,WAS09,1,0:00PM,day,false,stevj901,passa901,(none),hurle901,"""CHA/WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 12:52PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,143,0,pierb101,portb102,dorif101,,,,,,
WS1195204302,"""version 7RS(19) of 07/07/92""",CHA,WS1,1952/04/30,WAS09,2,0:00PM,night,false,passa901,hurle901,(none),stevj901,"""CHA/WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 1:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,166,10387,kennb103,newsb101,,,,,,,
WS1195205010,"""version 7RS(19) of 07/07/92""",CLE,WS1,1952/05/01,WAS09,0,0:00PM,night,false,hurle901,stevj901,(none),passa901,"""CLE/WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 1:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,190,10698,hudss101,lemob101,,,,,,,
WS1195205020,"""version 7RS(19) of 07/07/92""",CLE,WS1,1952/05/02,WAS09,0,0:00PM,night,false,stevj901,passa901,(none),hurle901,"""CLE/WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 1:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,12246,garcm101,morej102,,,,,,,
WS1195205030,"""version 7RS(19) of 07/07/92""",CLE,WS1,1952/05/03,WAS09,0,0:00PM,day,false,passa901,hurle901,(none),stevj901,"""CLE/WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 2:03PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,178,10257,newsb101,chakb101,,,,,,,
WS1195205041,"""version 7RS(19) of 07/07/92""",SLA,WS1,1952/05/04,WAS09,1,0:00PM,day,false,mcgob901,nappl901,grieb901,papaj901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2002/12/08 2:31PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,0,portb102,byrnt101,,,,,,,
