game_id,date,hometeam,visteam,site,number,home_final,visitor_final,home_win,visitor_travel_km,is_series_opener,tz_change,sig_travel
ARI201404160,2014-04-16,ARI,NYN,PHO01,0,2,2,0,2556.676208603904,True,-2,1
ARI201506040,2015-06-04,ARI,NYN,PHO01,0,0,2,0,480.8589832027718,True,-2,1
ARI201506070,2015-06-07,ARI,NYN,PHO01,0,0,1,0,0.0,True,-2,1
ARI201608150,2016-08-15,ARI,NYN,PHO01,0,2,1,1,2715.6718684728658,True,-2,1
ARI201608170,2016-08-17,ARI,NYN,PHO01,0,4,3,1,0.0,True,-2,1
ARI201705150,2017-05-15,ARI,NYN,PHO01,0,6,2,1,2352.946733972739,True,-2,1
ARI201705170,2017-05-17,ARI,NYN,PHO01,0,1,0,1,0.0,True,-2,1
ARI201806140,2018-06-14,ARI,NYN,PHO01,0,2,0,1,2556.676208603904,True,-2,1
ARI201806170,2018-06-17,ARI,NYN,PHO01,0,0,4,0,0.0,True,-2,1
ARI201906010,2019-06-01,ARI,NYN,PHO01,0,1,0,1,574.265826359301,True,-2,1
ARI202106010,2021-06-01,ARI,NYN,PHO01,0,2,1,1,3184.6442165813946,True,-2,1
ARI202204220,2022-04-22,ARI,NYN,PHO01,0,0,1,0,3344.0706669127894,True,-2,1
ARI202307040,2023-07-04,ARI,NYN,PHO01,0,1,1,0,3344.0706669127894,True,-2,1
ARI202408280,2024-08-28,ARI,NYN,PHO01,0,4,0,1,480.8589832027718,True,-2,1
ARI201508280,2015-08-28,ARI,OAK,PHO01,0,0,2,0,1793.5804038732033,True,1,1
ARI201508300,2015-08-30,ARI,OAK,PHO01,0,0,3,0,0.0,True,1,1
ARI202008170,2020-08-17,ARI,OAK,PHO01,0,1,0,1,1050.8161105458894,True,1,1
ARI202104120,2021-04-12,ARI,OAK,PHO01,0,0,2,0,1632.166881529229,True,1,1
ARI202406280,2024-06-28,ARI,OAK,PHO01,0,0,3,0,2057.513009320362,True,1,1
ARI202406300,2024-06-30,ARI,OAK,PHO01,0,1,0,1,0.0,True,1,1
ARI201305100,2013-05-10,ARI,PHI,PHO01,0,1,0,1,1050.8161105458894,True,-2,1
ARI201305120,2013-05-12,ARI,PHI,PHO01,0,0,2,0,0.0,True,-2,1
ARI201404250,2014-04-25,ARI,PHI,PHO01,0,1,1,0,574.265826359301,True,-2,1
ARI201606280,2016-06-28,ARI,PHI,PHO01,0,0,2,0,1050.8161105458894,True,-2,1
ARI201706230,2017-06-23,ARI,PHI,PHO01,0,0,4,0,3693.7128393970092,True,-2,1
ARI201706250,2017-06-25,ARI,PHI,PHO01,0,1,0,1,0.0,True,-2,1
ARI201808060,2018-08-06,ARI,PHI,PHO01,0,1,0,1,3693.7128393970092,True,-2,1
ARI201908050,2019-08-05,ARI,PHI,PHO01,0,0,1,0,2715.6718684728658,True,-2,1
ARI202108170,2021-08-17,ARI,PHI,PHO01,0,0,1,0,3182.590153156237,True,-2,1
ARI202108190,2021-08-19,ARI,PHI,PHO01,0,0,1,0,0.0,True,-2,1
ARI202208290,2022-08-29,ARI,PHI,PHO01,0,1,0,1,2538.7391290003966,True,-2,1
ARI202306120,2023-06-12,ARI,PHI,PHO01,0,0,1,0,3182.590153156237,True,-2,1
ARI202408080,2024-08-08,ARI,PHI,PHO01,0,1,1,0,574.265826359301,True,-2,1
ARI201407310,2014-07-31,ARI,PIT,PHO01,0,1,0,1,1050.8161105458894,True,-2,1
ARI201504250,2015-04-25,ARI,PIT,PHO01,0,0,1,0,2352.946733972739,True,-2,1
ARI201604230,2016-04-23,ARI,PIT,PHO01,0,5,0,1,2538.7391290003966,True,-2,1
ARI201705130,2017-05-13,ARI,PIT,PHO01,0,1,0,1,574.265826359301,True,-2,1
ARI201806110,2018-06-11,ARI,PIT,PHO01,0,4,0,1,2043.7540516750682,True,-2,1
ARI201806130,2018-06-13,ARI,PIT,PHO01,0,2,0,1,0.0,True,-2,1
ARI201905130,2019-05-13,ARI,PIT,PHO01,0,0,1,0,2043.7540516750682,True,-2,1
ARI202107200,2021-07-20,ARI,PIT,PHO01,0,0,1,0,3443.6976589600267,True,-2,1
ARI202208080,2022-08-08,ARI,PIT,PHO01,0,2,0,1,2336.340987950822,True,-2,1
ARI202208100,2022-08-10,ARI,PIT,PHO01,0,1,1,0,0.0,True,-2,1
ARI202307080,2023-07-08,ARI,PIT,PHO01,0,2,1,1,574.265826359301,True,-2,1
ARI202407280,2024-07-28,ARI,PIT,PHO01,0,3,4,0,2336.340987950822,True,-2,1
ARI201305250,2013-05-25,ARI,SDN,PHO01,0,0,1,0,3219.4130448980713,True,1,1
ARI201307270,2013-07-27,ARI,SDN,PHO01,0,0,3,0,2043.7540516750682,True,1,1
ARI201308270,2013-08-27,ARI,SDN,PHO01,0,1,0,1,942.3364167649689,True,1,1
ARI201405260,2014-05-26,ARI,SDN,PHO01,0,2,0,1,942.3364167649689,True,1,1
ARI201408220,2014-08-22,ARI,SDN,PHO01,0,1,1,0,574.265826359301,True,1,1
ARI201409140,2014-09-14,ARI,SDN,PHO01,0,3,2,1,574.265826359301,True,1,1
ARI201505070,2015-05-07,ARI,SDN,PHO01,0,1,0,1,942.3364167649689,True,1,1
ARI201505090,2015-05-09,ARI,SDN,PHO01,0,0,2,0,0.0,True,1,1
ARI201506200,2015-06-20,ARI,SDN,PHO01,0,0,4,0,1040.304275530281,True,1,1
ARI201509140,2015-09-14,ARI,SDN,PHO01,0,2,0,1,1050.8161105458894,True,1,1
ARI201605270,2016-05-27,ARI,SDN,PHO01,0,1,0,1,1050.8161105458894,True,1,1
ARI201607050,2016-07-05,ARI,SDN,PHO01,0,0,1,0,2538.7391290003966,True,1,1
ARI201610010,2016-10-01,ARI,SDN,PHO01,0,1,0,1,942.3364167649689,True,1,1
ARI201704260,2017-04-26,ARI,SDN,PHO01,0,0,5,0,2556.676208603904,True,1,1
ARI201706060,2017-06-06,ARI,SDN,PHO01,0,0,1,0,3443.6976589600267,True,1,1
ARI201706080,2017-06-08,ARI,SDN,PHO01,0,4,0,1,0.0,True,1,1
ARI201709090,2017-09-09,ARI,SDN,PHO01,0,0,6,0,3184.6442165813946,True,1,1
ARI201804200,2018-04-20,ARI,SDN,PHO01,0,0,3,0,1632.166881529229,True,1,1
ARI201807060,2018-07-06,ARI,SDN,PHO01,0,1,0,1,1040.304275530281,True,1,1
ARI201904140,2019-04-14,ARI,SDN,PHO01,0,1,0,1,1050.8161105458894,True,1,1
ARI201909030,2019-09-03,ARI,SDN,PHO01,0,0,1,0,1050.8161105458894,True,1,1
ARI201909270,2019-09-27,ARI,SDN,PHO01,0,4,0,1,2352.946733972739,True,1,1
ARI201909290,2019-09-29,ARI,SDN,PHO01,0,1,0,1,0.0,True,1,1
ARI202008140,2020-08-14,ARI,SDN,PHO01,0,4,1,1,574.265826359301,True,1,1
ARI202104280,2021-04-28,ARI,SDN,PHO01,0,0,2,0,574.265826359301,True,1,1
ARI202108120,2021-08-12,ARI,SDN,PHO01,0,2,0,1,1040.304275530281,True,1,1
ARI202108300,2021-08-30,ARI,SDN,PHO01,0,0,1,0,942.3364167649689,True,1,1
ARI202109010,2021-09-01,ARI,SDN,PHO01,0,2,0,1,0.0,True,1,1
ARI202204070,2022-04-07,ARI,SDN,PHO01,0,4,0,1,1050.8161105458894,True,1,1
ARI202204090,2022-04-09,ARI,SDN,PHO01,0,0,1,0,0.0,True,1,1
ARI202206280,2022-06-28,ARI,SDN,PHO01,0,1,0,1,942.3364167649689,True,1,1
ARI202209150,2022-09-15,ARI,SDN,PHO01,0,1,0,1,1793.5804038732033,True,1,1
