mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
669060,"Wilson, Bryse",14.264,14.264
456501,"Cueto, Johnny",14.279,14.279
572096,"Rosenthal, Trevor",14.283,14.283
548389,"Stripling, Ross",14.294,14.294
543037,"Cole, Gerrit",14.302,14.302
458713,"Slowey, Kevin",14.303,14.303
433579,"Danks, John",14.311,14.311
543506,"Maurer, Brandon",14.314,14.314
518452,"Bettis, Chad",14.321,14.321
625643,"López, Reynaldo",14.329,14.329
434578,"Saunders, Joe",14.329,14.329
669684,"Murphy, Chris",14.33,14.33
681857,"Olson, Reese",14.338,14.338
660896,"Alcala, Jorge",14.34,14.34
663436,"Martin, Davis",14.342,14.342
518567,"Collmenter, Josh",14.344,14.344
458708,"Tomlin, Josh",14.348,14.348
680573,"Woods Richardson, Simeon",14.36,14.36
572750,"Butler, Eddie",14.364,14.364
543278,"Hardy, Blaine",14.381,14.381
671096,"Abbott, Andrew",14.385,14.385
663556,"McClanahan, Shane",14.386,14.386
623211,"Brazobán, Huascar",14.389,14.389
701581,"Festa, David",14.398,14.398
666157,"Lodolo, Nick",14.399,14.399
573124,"Rogers, Taylor",14.404,14.404
656222,"Beeks, Jalen",14.406,14.406
661563,"Gil, Luis",14.411,14.411
621366,"Borucki, Ryan",14.414,14.414
641712,"Hudson, Dakota",14.415,14.415
657053,"Toussaint, Touki",14.415,14.415
543643,"Pettibone, Jonathan",14.422,14.422
548357,"Bergman, Christian",14.424,14.424
543135,"Eovaldi, Nathan",14.434,14.434
669212,"Morgan, Eli",14.437,14.437
668909,"Williams, Gavin",14.443,14.443
686563,"Cannon, Jonathan",14.446,14.446
547943,"Ryu, Hyun Jin",14.447,14.447
592468,"Kingham, Nick",14.447,14.447
571527,"Buchanan, David",14.448,14.448
622088,"Antone, Tejay",14.454,14.454
660761,"Suarez, José",14.454,14.454
433585,"Francis, Jeff",14.456,14.456
669160,"May, Dustin",14.469,14.469
608334,"Fulmer, Carson",14.474,14.474
641835,"Mayza, Tim",14.48,14.48
554430,"Wheeler, Zack",14.48,14.48
598271,"Johnson, Brian",14.481,14.481
605182,"Clevinger, Mike",14.481,14.481
605463,"Scott, Tayler",14.486,14.486
663474,"McKenzie, Triston",14.487,14.487
669062,"Miller, Erik",14.489,14.489
543859,"Tonkin, Michael",14.497,14.497
672582,"Zerpa, Angel",14.497,14.497
676879,"Ashby, Aaron",14.5,14.5
571561,"Cingrani, Tony",14.501,14.501
642607,"Agrazal, Dario",14.515,14.515
667463,"King, John",14.52,14.52
665871,"Assad, Javier",14.524,14.524
668678,"Gallen, Zac",14.525,14.525
669459,"Nelson, Kyle",14.527,14.527
461829,"González, Gio",14.547,14.547
663465,"Allard, Kolby",14.548,14.548
606303,"Payamps, Joel",14.557,14.557
676684,"Vest, Will",14.561,14.561
665665,"Sanmartin, Reiver",14.563,14.563
543424,"Lamb, John",14.569,14.569
519008,"McFarland, T.J.",14.57,14.57
808967,"Yamamoto, Yoshinobu",14.577,14.577
605397,"Musgrove, Joe",14.579,14.579
518716,"Gee, Dillon",14.579,14.579
663978,"Paddack, Chris",14.58,14.58
607237,"Garrett, Amir",14.581,14.581
543699,"Roark, Tanner",14.588,14.588
671737,"Bradley, Taj",14.591,14.591
502083,"McAllister, Zach",14.611,14.611
430599,"Blanton, Joe",14.615,14.615
657376,"Schmidt, Clarke",14.617,14.617
605200,"Davies, Zach",14.617,14.617
446321,"Detwiler, Ross",14.626,14.626
502239,"Cahill, Trevor",14.626,14.626
519344,"Tepesch, Nick",14.628,14.628
675627,"Grove, Michael",14.632,14.632
570649,"Ventura, Yordano",14.633,14.633
608032,"Estévez, Carlos",14.638,14.638
488768,"Cashner, Andrew",14.65,14.65
424324,"Lee, Cliff",14.653,14.653
683769,"Gaddis, Hunter",14.653,14.653
543734,"Rusin, Chris",14.658,14.658
592791,"Taillon, Jameson",14.661,14.661
471911,"Carrasco, Carlos",14.667,14.667
676775,"Winn, Keaton",14.673,14.673
664747,"Díaz, Alexis",14.675,14.675
572143,"Smith, Burch",14.677,14.677
425532,"Williams, Jerome",14.68,14.68
676130,"Buttó, José",14.68,14.68
676606,"Margevicius, Nick",14.681,14.681
446899,"Ziegler, Brad",14.681,14.681
641816,"Mahle, Tyler",14.681,14.681
421685,"Harang, Aaron",14.682,14.682
622075,"Almonte, Yency",14.683,14.683
434643,"Rodriguez, Wandy",14.698,14.698
642547,"Peralta, Freddy",14.698,14.698
676974,"Meyer, Max",14.702,14.702
668868,"Thompson, Zack",14.71,14.71
476589,"Warren, Adam",14.712,14.712
605498,"Suárez, Andrew",14.715,14.715
656271,"Burke, Brock",14.719,14.719
592767,"Smyly, Drew",14.719,14.719
622065,"Young, Alex",14.723,14.723
650633,"King, Michael",14.724,14.724
468504,"Chacín, Jhoulys",14.73,14.73
518748,"Grimm, Justin",14.731,14.731
150414,"Westbrook, Jake",14.737,14.737
657612,"Hill, Tim",14.737,14.737
682610,"Muñoz, Roddery",14.738,14.738
533167,"Shoemaker, Matt",14.738,14.738
120485,"Pettitte, Andy",14.75,14.75
656232,"Bielak, Brandon",14.75,14.75
676106,"Hancock, Emerson",14.75,14.75
641793,"Littell, Zack",14.752,14.752
657141,"Yamamoto, Jordan",14.753,14.753
657508,"Baumann, Mike",14.754,14.754
623149,"Sewald, Paul",14.757,14.757
643338,"Green, Chad",14.757,14.757
592238,"Cumpton, Brandon",14.763,14.763
666745,"Brito, Jhony",14.767,14.767
506693,"Alvarez III, Henderson",14.775,14.775
517414,"Delgado, Randall",14.781,14.781
501985,"Minor, Mike",14.789,14.789
543022,"Chatwood, Tyler",14.796,14.796
445170,"Redmond, Todd",14.803,14.803
543548,"Milone, Tommy",14.815,14.815
672282,"Detmers, Reid",14.815,14.815
543155,"Fife, Stephen",14.818,14.818
656629,"Kopech, Michael",14.819,14.819
676254,"Walker, Ryan",14.821,14.821
657514,"Bernardino, Brennan",14.83,14.83
666159,"Manning, Matt",14.842,14.842
666142,"Ragans, Cole",14.843,14.843
607536,"Freeland, Kyle",14.853,14.853
554431,"Matzek, Tyler",14.854,14.854
642233,"Yardley, Eric",14.875,14.875
461833,"Hughes, Phil",14.879,14.879
431148,"Kazmir, Scott",14.88,14.88
592170,"Bridwell, Parker",14.882,14.882
670912,"Oviedo, Johan",14.885,14.885
656412,"Faedo, Alex",14.885,14.885
548384,"Raley, Brooks",14.893,14.893
664641,"Miranda, Aríel",14.898,14.898
666205,"Muller, Kyle",14.905,14.905
488984,"Hunter, Tommy",14.907,14.907
668676,"Plesac, Zach",14.915,14.915
430912,"Cain, Matt",14.915,14.915
621052,"Reyes, Alex",14.919,14.919
642397,"Soto, Gregory",14.927,14.927
518774,"Harvey, Matt",14.928,14.928
608371,"Sims, Lucas",14.943,14.943
607074,"Rodón, Carlos",14.945,14.945
621244,"Berríos, José",14.948,14.948
663568,"Kolek, Stephen",14.95,14.95
643778,"Webb, Tyler",14.955,14.955
669194,"Nelson, Ryne",14.96,14.96
677053,"Nardi, Andrew",14.965,14.965
489294,"Scheppers, Tanner",14.966,14.966
434622,"Jiménez, Ubaldo",14.97,14.97
663372,"Feltner, Ryan",14.971,14.971
657093,"Watkins, Spenser",14.975,14.975
