home_team,fringe_side,quadrant,first_inning,n,csr,exp,ocs
BAL,top,OZ,0,397,0.48866498740554154,0.30623531460033865,0.1824296728052029
BAL,top,OZ,1,72,0.5555555555555556,0.30793588543816675,0.24761967011738883
BAL,top,Top-Left,0,144,0.9583333333333334,0.9649517268211453,-0.006618393487811902
BAL,top,Top-Left,1,20,0.95,0.9608804932090333,-0.010880493209033393
BAL,top,Top-Right,0,113,0.9469026548672567,0.97037680620436,-0.02347415133710329
BAL,top,Top-Right,1,13,0.9230769230769231,0.9673381846142892,-0.04426126153736609
BOS,bottom,Bottom-Left,0,146,0.9041095890410958,0.9691917612207845,-0.0650821721796887
BOS,bottom,Bottom-Left,1,19,0.8947368421052632,0.9669512746630007,-0.07221443255773752
BOS,bottom,Bottom-Right,0,170,0.9176470588235294,0.9582750838300829,-0.04062802500655349
BOS,bottom,Bottom-Right,1,17,0.6470588235294118,0.9563616838020359,-0.3093028602726241
BOS,bottom,OZ,0,579,0.4680483592400691,0.30869998546531346,0.15934837377475564
BOS,bottom,OZ,1,88,0.38636363636363635,0.2994448652690819,0.08691877109455448
BOS,left,Bottom-Left,0,145,0.8827586206896552,0.9705038880718826,-0.08774526738222743
BOS,left,Bottom-Left,1,16,0.9375,0.9694829878491232,-0.031982987849123234
BOS,left,OZ,0,549,0.38979963570127507,0.32140760404757224,0.06839203165370283
BOS,left,OZ,1,67,0.208955223880597,0.3092278365156958,-0.10027261263509879
BOS,left,Top-Left,0,116,0.8620689655172413,0.9651084941973962,-0.10303952868015487
BOS,left,Top-Left,1,22,0.8636363636363636,0.9641387068630355,-0.10050234322667184
BOS,right,Bottom-Right,0,160,0.9125,0.9579729568506788,-0.04547295685067887
BOS,right,Bottom-Right,1,20,0.75,0.9538234935241663,-0.2038234935241663
BOS,right,OZ,0,547,0.40585009140767825,0.3068051179504063,0.09904497345727192
BOS,right,OZ,1,101,0.42574257425742573,0.3026474576319224,0.12309511662550332
BOS,right,Top-Right,0,122,0.8934426229508197,0.9684393599713439,-0.07499673702052423
BOS,right,Top-Right,1,21,0.8571428571428571,0.9698164692622872,-0.11267361211943006
BOS,top,OZ,0,386,0.49222797927461137,0.3104726948035855,0.18175528447102585
BOS,top,OZ,1,53,0.5283018867924528,0.2951654637911158,0.23313642300133702
BOS,top,Top-Left,0,120,0.9166666666666666,0.9647419353713864,-0.04807526870471979
BOS,top,Top-Left,1,21,1.0,0.9609751456973415,0.03902485430265845
