game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,innings
WS1194007140,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/07/14,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/08/04 6:51AM,grieb901,summb901,(none),kolll901,park,none,0,unknown,-1,unknown,unknown,unknown,161,12000,carra101,dobsj101,,,,
WS1194007150,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/07/15,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/08/04 7:03AM,summb901,kolll901,(none),grieb901,park,none,0,unknown,-1,unknown,unknown,unknown,124,3000,hudss101,milna101,,,,
WS1194007160,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/07/16,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1997/08/04 7:23AM,kolll901,grieb901,(none),summb901,park,none,0,unknown,-1,unknown,unknown,unknown,140,2000,carra101,allej102,montr101,,,
WS1194007170,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/07/17,WAS09,0,0:00PM,day,false,"""277,111,100""","""Tom Thress/RWood""","""Tom Thress/RWood""",2017/12/20 9:24PM,morig101,hubbc901,(none),romme101,park,none,0,unknown,-1,unknown,unknown,unknown,110,2500,leond103,dietb101,,,,
WS1194007180,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/07/18,WAS09,0,0:00PM,day,false,"""277,111,222,100""","""Jim Wohlenhaus/RWood""","""David W. Smith/RWood""",2017/12/23 3:39PM,hubbc901,romme101,(none),morig101,park,none,0,unknown,-1,unknown,unknown,unknown,125,2000,carra101,knotj102,,,,
WS1194007190,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/07/19,WAS09,0,0:00PM,day,false,"""277,111,222,100""","""Dick Cramer/RWood""","""Dick Cramer/RWood""",2017/12/21 8:15AM,romme101,hubbc901,(none),morig101,unknown,none,0,unknown,-1,unknown,unknown,unknown,118,9000,lee-t101,mastw101,,,,
WS1194007200,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/07/20,WAS09,0,0:00PM,day,false,"""128""","""Cliff Blau""","""Cliff Blau""",2017/10/12 7:59PM,morig101,hubbc901,(none),romme101,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,3000,niggj101,hudss101,,,,
WS1194007211,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/07/21,WAS09,1,0:00PM,day,false,"""102,128,208,222""","""Tom Thress""","""Tom Thress""",2017/12/23 11:30PM,hubbc901,romme101,(none),morig101,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,0,lawsr101,carra101,,,,
WS1194007212,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/07/21,WAS09,2,0:00PM,day,false,"""102,128,208,222""","""Tom Thress""","""Tom Thress""",2017/12/23 11:38PM,romme101,morig101,(none),hubbc901,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,12000,montr101,harrb109,,,,
WS1194008060,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/08/06,WAS09,0,0:00PM,day,false,"""266,119,222,276""","""Dick Cramer/Townsend""","""Dick Cramer/Townsend""",2018/01/03 7:15AM,pipgg101,ormsr901,(none),summb901,unknown,none,0,unknown,-1,unknown,unknown,unknown,92,3000,hudss101,rossb102,,,,
WS1194008080,"""version 7RS(19) of 07/07/92""",PHA,WS1,1940/08/08,WAS09,0,0:00PM,day,false,"""119,222,266""","""Tom Thress""","""Tom Thress""",2018/01/04 8:19PM,ormsr901,summb901,(none),pipgg101,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,1500,beckb103,montr101,,,,
WS1194008100,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/08/10,WAS09,0,0:00PM,day,false,"""210,222""","""Pete Cottrell""","""Pete Cottrell""",2015/11/02 12:17AM,mcgob901,kolll901,(none),rue-j901,park,none,0,unknown,-1,unknown,unknown,unknown,130,8000,johne105,chask101,wilsj103,,,
WS1194008110,"""version 7RS(19) of 07/07/92""",BOS,WS1,1940/08/11,WAS09,0,0:00PM,day,false,"""210,222,96""","""Pete Cottrell""","""Pete Cottrell""",2015/11/11 10:01AM,kolll901,rue-j901,(none),mcgob901,park,none,0,unknown,-1,unknown,unknown,unknown,105,22000,hudss101,grovl101,,,,
WS1194008200,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/08/20,WAS09,0,0:00PM,day,false,"""128""","""Cliff Blau""","""Cliff Blau""",2017/10/14 9:04AM,rue-j901,mcgob901,(none),kolll901,unknown,none,0,unknown,-1,unknown,unknown,unknown,121,1500,aukee101,hudss101,,,,
WS1194008210,"""version 7RS(19) of 07/07/92""",SLA,WS1,1940/08/21,WAS09,0,0:00PM,day,false,"""128,222,208""","""Jim Herdman/RWood""","""Jim Herdman/RWood""",2018/01/09 12:53PM,mcgob901,kolll901,(none),rue-j901,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,1500,leond103,milll102,,,,
WS1194008230,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/08/23,WAS09,0,0:00PM,day,false,"""111,222,100""","""Tom Thress/RWood""","""Tom Thress/RWood""",2018/01/21 12:44AM,kolll901,rue-j901,(none),mcgob901,unknown,none,0,unknown,-1,unknown,unknown,unknown,185,10000,chask101,dietb101,,,,
WS1194008241,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/08/24,WAS09,1,0:00PM,day,false,277,"""Dick Cramer""","""Dick Cramer""",2015/05/19 8:30PM,rue-j901,mcgob901,(none),kolll901,unknown,none,0,unknown,-1,unknown,unknown,unknown,135,0,knotj102,mastw101,rignj101,,,
WS1194008242,"""version 7RS(19) of 07/07/92""",CHA,WS1,1940/08/24,WAS09,2,0:00PM,day,false,"""277,111,222""","""Tom Thress""","""Tom Thress""",2018/01/21 11:33PM,mcgob901,kolll901,(none),rue-j901,park,none,0,unknown,-1,unknown,unknown,unknown,108,9000,smite105,krakj101,,,,
WS1194008250,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/08/25,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1998/04/01 12:32PM,ormsr901,quinj901,geish901,pipgg101,park,none,0,unknown,-1,unknown,unknown,unknown,118,12500,hudss101,allej102,,,,
WS1194008260,"""version 7RS(19) of 07/07/92""",CLE,WS1,1940/08/26,WAS09,0,0:00PM,day,false,"""39""","""Brad Sullivan""","""A. Braunstein""",1998/04/01 12:46PM,geish901,pipgg101,(none),ormsr901,park,none,0,unknown,-1,unknown,unknown,unknown,132,1500,hardm101,leond103,fellb101,,,
