game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
NYA195608240,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/08/24,NYC16,0,0:00PM,night,false,umonf901,berrc103,honoj901,nappl901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/25 2:56AM,unknown,none,77,unknown,-1,unknown,unknown,unknown,120,34389,kuckj101,harsj101,,,"""CHA/NYA""",
NYA195608250,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/08/25,NYC16,0,0:00PM,day,false,berrc103,honoj901,nappl901,umonf901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/25 3:10AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,136,54449,donod101,fordw101,,,"""CHA/NYA""",
NYA195608261,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/08/26,NYC16,1,0:00PM,day,false,stevj901,tabaf901,runge901,romme101,"""D Lamoureaux""","""D Lamoureaux""",2003/04/25 3:19AM,unknown,none,80,unknown,-1,unknown,unknown,unknown,158,0,sturt101,foytp101,,,"""DET/NYA""",
NYA195608262,"""version 7RS(19) of 07/07/92""",DET,NYA,1956/08/26,NYC16,2,0:00PM,day,false,tabaf901,runge901,romme101,stevj901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/25 3:29AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,177,52708,groms101,mcdem102,laryf101,,"""DET/NYA""",
NYA195608280,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/08/28,NYC16,0,0:00PM,night,false,runge901,romme101,stevj901,tabaf901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/25 5:22PM,unknown,none,81,unknown,-1,unknown,rain,overcast,88,12861,turlb101,ditma101,,,"""NYA""",
NYA195608290,"""version 7RS(19) of 07/07/92""",KC1,NYA,1956/08/29,NYC16,0,0:00PM,day,false,romme101,stevj901,tabaf901,runge901,"""Luke Kraemer""","""Luke Kraemer""",2001/11/28 6:54PM,park,none,88,unknown,-1,unknown,unknown,sunny,145,14081,morgt101,shanb102,,mantm101,"""NYA""",
NYA195609031,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/09/03,NYC16,1,0:00PM,day,false,hurle901,chyln901,soarh901,papaj901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/04 11:22AM,park,none,0,unknown,-1,unknown,unknown,unknown,125,0,kuckj101,palie101,,,,
NYA195609032,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/09/03,NYC16,2,0:00PM,day,false,chyln901,soarh901,papaj901,hurle901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/04 11:28AM,park,none,0,unknown,-1,unknown,unknown,unknown,166,35557,larsd102,wighb101,,,,
NYA195609070,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/09/07,NYC16,0,0:00PM,night,false,flahr901,mckib901,summb901,ricej901,"""Comly""","""Comly""",2007/05/13 9:10PM,park,none,0,unknown,-1,unknown,unknown,night,175,16853,stewb103,morgt101,grigh101,,"""14""",
NYA195609080,"""version 7RS(19) of 07/07/92""",WS1,NYA,1956/09/08,NYC16,0,0:00PM,day,false,mckib901,summb901,ricej901,flahr901,"""Comly""","""Comly""",2007/05/13 9:33PM,park,none,0,unknown,-1,unknown,unknown,unknown,155,13874,sturt101,pascc102,turlb101,,"""14""",
