game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192207190,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/07/19,PHI11,0,0:00PM,day,false,"""102,451""","""D Lamoureaux/Smith""","""D Lamoureaux/Smith""",2001/04/17 7:45PM,nalld901,walse101,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,123,5000,retto101,shocu101,,,,
PHA192207200,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/07/20,PHI11,0,0:00PM,day,false,"""102""","""D Lamoureaux""","""D Lamoureaux""",2001/04/17 7:56PM,walse101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,108,3500,vange101,romme101,,,,
PHA192207210,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/07/21,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/03 7:52PM,nalld901,walse101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,0,wrigr104,harrs101,,,,
PHA192207220,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/07/22,PHI11,0,0:00PM,day,false,"""102,451""","""D Lamoureaux/Smith""","""D Lamoureaux/Smith""",2001/04/18 3:16AM,walse101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,110,14000,kolpr101,hastb101,,,,
PHA192207240,"""version 7RS(19) of 07/07/92""",WS1,PHA,1922/07/24,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/04 8:48AM,hildg101,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,0,harrs101,erice101,,,,
PHA192208151,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/08/15,PHI11,1,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/04/02 10:39PM,owenb901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,120,0,mortg101,naylr101,,,,
PHA192208152,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/08/15,PHI11,2,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/04/03 9:30AM,morig101,owenb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,0,romme101,boond102,,,,
PHA192208160,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/08/16,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/04/03 9:49AM,owenb901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,135,0,romme101,boond102,,,,
PHA192208170,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/08/17,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/04/03 6:03PM,morig101,owenb901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,110,0,hastb101,uhleg101,,,,
PHA192208180,"""version 7RS(19) of 07/07/92""",SLA,PHA,1922/08/18,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/04 1:14PM,owenb901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,105,3000,naylr101,vange101,,,,
