game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP_x,away_OBP_x,home_OBP_y,away_OBP_y
DET202404070,2024-04-07,DET,OAK,0,2,3.17,6.42,1e-06,1e-06,DET,DET,0.0,1.0,0.303,0.303,0.303,0.303
NYA202404070,2024-04-07,NYA,TOR,0,0,2.37,3.3,1e-06,1e-06,NYA,NYA,1.5,0.25,0.337,0.313,0.337,0.313
COL202404070,2024-04-07,COL,TBA,0,0,6.17,3.6,1e-06,1e-06,COL,COL,0.5,1.0,0.332,0.301,0.332,0.301
MIL202404070,2024-04-07,MIL,SEA,3,1,4.29,4.75,1e-06,1e-06,MIL,MIL,0.0,0.0,0.317,0.315,0.317,0.315
CHN202404070,2024-04-07,CHN,LAN,3,0,3.45,3.53,1e-06,1e-06,CHN,CHN,0.4,1.0,0.302,0.339,0.302,0.339
ATL202404070,2024-04-07,ATL,ARI,0,0,2.38,4.24,1e-06,1e-06,ATL,ATL,0.5,4.5,0.313,0.328,0.313,0.328
PIT202404070,2024-04-07,PIT,BAL,0,0,3.38,3.15,1e-06,1e-06,PIT,PIT,0.0,0.0,0.306,0.316,0.306,0.316
KCA202404070,2024-04-07,KCA,CHA,0,0,3.66,7.07,1e-06,1e-06,KCA,KCA,0.8,0.0,0.319,0.273,0.319,0.273
ANA202404070,2024-04-07,ANA,BOS,0,0,6.75,3.12,1e-06,1e-06,ANA,ANA,0.0,0.25,0.302,0.317,0.302,0.317
CIN202404070,2024-04-07,CIN,NYN,0,1,3.72,3.47,1e-06,1e-06,CIN,CIN,0.25,0.0,0.311,0.317,0.311,0.317
CIN202404080,2024-04-08,CIN,MIL,0,0,5.24,2.86,1e-06,525.1892238126902,CIN,MIL,0.2,2.0,0.311,0.333,0.311,0.333
TOR202404080,2024-04-08,TOR,SEA,0,0,3.6,3.64,550.2922217550002,695.7214064772647,NYA,MIL,0.0,0.3333333333333333,0.314,0.315,0.314,0.315
SDN202404080,2024-04-08,SDN,CHN,0,0,3.99,4.67,738.1265117326025,2787.070270174863,SFN,CHN,1.1666666666666667,1.5,0.315,0.331,0.315,0.331
ANA202404080,2024-04-08,ANA,TBA,2,0,3.81,3.59,1e-06,1321.5005793187804,ANA,COL,0.0,0.6666666666666666,0.302,0.301,0.302,0.301
PIT202404080,2024-04-08,PIT,DET,0,1,4.25,3.53,1e-06,331.7516309667575,PIT,DET,0.0,0.6,0.306,0.299,0.306,0.299
SLN202404080,2024-04-08,SLN,PHI,0,0,2.04,2.17,1e-06,1142.2462660488457,SLN,WAS,0.0,0.0,0.315,0.319,0.315,0.319
TEX202404080,2024-04-08,TEX,HOU,5,2,4.28,3.59,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.317,0.31,0.317
CLE202404080,2024-04-08,CLE,CHA,0,0,5.11,3.98,1013.2251113855248,1123.5230318083022,MIN,KCA,0.0,0.0,0.317,0.273,0.317,0.273
ATL202404080,2024-04-08,ATL,NYN,0,0,3.67,5.63,1e-06,595.1171397463928,ATL,CIN,0.3333333333333333,0.3333333333333333,0.313,0.317,0.313,0.317
COL202404080,2024-04-08,COL,ARI,1,0,5.72,7.44,1e-06,1946.7466716258368,COL,ATL,0.3333333333333333,3.0,0.332,0.328,0.332,0.328
SFN202404080,2024-04-08,SFN,WAS,1,0,3.12,2.03,1e-06,3919.8438689376185,SFN,WAS,0.3333333333333333,0.0,0.307,0.308,0.307,0.308
NYA202404080,2024-04-08,NYA,MIA,0,0,3.77,5.0,1e-06,1403.0288811452067,NYA,SLN,1.0,2.0,0.337,0.292,0.337,0.292
MIN202404080,2024-04-08,MIN,LAN,0,1,7.52,4.4,1e-06,571.0232496384983,MIN,CHN,0.5,0.6666666666666666,0.328,0.339,0.328,0.339
CIN202404090,2024-04-09,CIN,MIL,0,0,4.84,3.77,1e-06,1e-06,CIN,CIN,0.1666666666666666,1.3333333333333333,0.311,0.333,0.311,0.333
ANA202404090,2024-04-09,ANA,TBA,2,0,5.08,4.36,1e-06,1e-06,ANA,ANA,0.5,0.5,0.302,0.301,0.302,0.301
CLE202404090,2024-04-09,CLE,CHA,2,5,4.25,5.71,1e-06,1e-06,CLE,CLE,0.0,0.0,0.317,0.273,0.317,0.273
PIT202404090,2024-04-09,PIT,DET,0,1,5.77,4.53,1e-06,1e-06,PIT,PIT,0.0,0.6666666666666666,0.306,0.299,0.306,0.299
MIN202404090,2024-04-09,MIN,LAN,0,0,7.61,3.49,1e-06,1e-06,MIN,MIN,0.3333333333333333,0.75,0.328,0.339,0.328,0.339
KCA202404090,2024-04-09,KCA,HOU,0,1,4.92,,1e-06,738.3603208647532,KCA,TEX,0.6666666666666666,0.5,0.319,0.317,0.319,0.317
ATL202404090,2024-04-09,ATL,NYN,1,0,1.99,5.84,1e-06,1e-06,ATL,ATL,0.25,0.25,0.313,0.317,0.313,0.317
TOR202404090,2024-04-09,TOR,SEA,0,0,4.16,3.53,1e-06,1e-06,TOR,TOR,0.0,0.25,0.314,0.315,0.314,0.315
NYA202404090,2024-04-09,NYA,MIA,0,0,3.96,3.15,1e-06,1e-06,NYA,NYA,0.75,1.5,0.337,0.292,0.337,0.292
TEX202404090,2024-04-09,TEX,OAK,1,0,4.32,2.59,1e-06,1624.6230769135182,TEX,DET,0.8333333333333334,1.3333333333333333,0.31,0.303,0.31,0.303
SLN202404090,2024-04-09,SLN,PHI,0,0,3.84,2.57,1e-06,1e-06,SLN,SLN,0.0,0.0,0.315,0.319,0.315,0.319
BOS202404090,2024-04-09,BOS,BAL,1,0,4.49,2.92,4151.631080145035,773.5078082361433,ANA,PIT,1.0,0.0,0.321,0.316,0.321,0.316
SFN202404090,2024-04-09,SFN,WAS,0,0,1.91,6.7,1e-06,1e-06,SFN,SFN,0.5,0.0,0.307,0.308,0.307,0.308
SDN202404090,2024-04-09,SDN,CHN,0,0,3.88,3.84,1e-06,1e-06,SDN,SDN,1.0,1.0,0.315,0.331,0.315,0.331
COL202404090,2024-04-09,COL,ARI,1,2,4.98,4.03,1e-06,1e-06,COL,COL,0.5,2.25,0.332,0.328,0.332,0.328
TEX202404100,2024-04-10,TEX,OAK,3,1,3.54,6.01,1e-06,1e-06,TEX,TEX,0.8571428571428571,1.0,0.31,0.303,0.31,0.303
CIN202404100,2024-04-10,CIN,MIL,0,2,2.75,4.04,1e-06,1e-06,CIN,CIN,0.1428571428571428,1.0,0.311,0.333,0.311,0.333
ANA202404100,2024-04-10,ANA,TBA,0,3,3.42,2.67,1e-06,1e-06,ANA,ANA,0.8,0.4,0.302,0.301,0.302,0.301
SLN202404100,2024-04-10,SLN,PHI,0,2,3.78,3.57,1e-06,1e-06,SLN,SLN,0.0,0.0,0.315,0.319,0.315,0.319
TOR202404100,2024-04-10,TOR,SEA,0,0,6.33,2.12,1e-06,1e-06,TOR,TOR,0.0,0.2,0.314,0.315,0.314,0.315
COL202404100,2024-04-10,COL,ARI,1,1,6.49,3.92,1e-06,1e-06,COL,COL,0.6,2.2,0.332,0.328,0.332,0.328
KCA202404100,2024-04-10,KCA,HOU,0,0,3.0,4.53,1e-06,1e-06,KCA,KCA,0.5714285714285714,0.6,0.319,0.317,0.319,0.317
MIN202404100,2024-04-10,MIN,LAN,1,1,6.49,1.76,1e-06,1e-06,MIN,MIN,0.25,0.6,0.328,0.339,0.328,0.339
SFN202404100,2024-04-10,SFN,WAS,0,0,4.1,5.62,1e-06,1e-06,SFN,SFN,0.4,0.0,0.307,0.308,0.307,0.308
SDN202404100,2024-04-10,SDN,CHN,0,0,3.47,5.92,1e-06,1e-06,SDN,SDN,0.875,0.75,0.315,0.331,0.315,0.331
BOS202404100,2024-04-10,BOS,BAL,0,0,3.45,5.55,1e-06,1e-06,BOS,BOS,1.0,0.0,0.321,0.316,0.321,0.316
CLE202404100,2024-04-10,CLE,CHA,0,2,1.93,9.0,1e-06,1e-06,CLE,CLE,1.0,0.8333333333333334,0.317,0.273,0.317,0.273
NYA202404100,2024-04-10,NYA,MIA,0,0,4.31,3.63,1e-06,1e-06,NYA,NYA,0.6,1.2,0.337,0.292,0.337,0.292
KCA202404110,2024-04-11,KCA,HOU,9,0,3.71,3.49,1e-06,1e-06,KCA,KCA,0.5,0.5,0.319,0.317,0.319,0.317
TEX202404110,2024-04-11,TEX,OAK,0,0,4.47,4.38,1e-06,1e-06,TEX,TEX,1.125,1.0,0.31,0.303,0.31,0.303
BOS202404110,2024-04-11,BOS,BAL,2,0,16.2,5.33,1e-06,1e-06,BOS,BOS,0.5,0.0,0.321,0.316,0.321,0.316
PHI202404110,2024-04-11,PHI,PIT,0,0,3.46,4.14,1300.629186583633,412.2899901216241,SLN,PIT,1.4,0.6666666666666666,0.33,0.297,0.33,0.297
